lane,representation_source,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access
A1_K10,RETAINED_CARRIER,SPARSE_WARD_REGISTERED,21a94fa8d68c2a4efd7c4d4adcf38be6ad234e3bbb0cbcfb1155e934e7cc16d7,0.1899107065676176,0.34519311270258685,0.3408955690834579,0.34653214617218175,0.3812681937789118,0.34519311270258685,3484,3484,10,109,109|122|125|151|237|243|314|586|721|876,109,109|122|125|151|237|243|314|586|721|876,0.8686997035154596,0.8458842527621495,0.16380598730485024,independent_evaluator_after_bank_lock
A1_K10,RETAINED_CARRIER,SPARSE_GRAPH_FEATURE12_SPATIAL50,072b92bf5ebb66c3ee00593ee0969bec3845679a92bcf1fe96f69af773f2b34d,0.23385160460177642,0.3857654896547161,0.3818068922804277,0.378269179849715,0.4342907968839309,0.38576548965471613,3484,3484,10,113,113|155|172|215|229|289|359|425|738|789,113,113|155|172|215|229|289|359|425|738|789,0.8360864040660737,0.8156238360501906,0.1906700850754648,independent_evaluator_after_bank_lock
A1_K10,RETAINED_CARRIER,HISTORICAL_CONCAT_KNN_S01,409d1bc5650c4132de7199294dd205fd09c3e354f02a7455a0a608d63d354cd3,0.23839409851319837,0.36940509749782735,0.3651561512062299,0.39487724167230714,0.3969797817585677,0.36940509749782735,3484,3484,10,89,89|101|135|144|177|189|193|712|781|963,89,89|101|135|144|177|189|193|712|781|963,0.5823803473104616,0.528101274630042,0.4853426646044049,independent_evaluator_after_bank_lock
A1_K10,RETAINED_CARRIER,HISTORICAL_CONCAT_KNN_S02,57376a42a965e2cc70e2ff43fc295d3f5d12315ca19f0bf0e701134b11034d86,0.24590698341474035,0.37042303737250526,0.3663053775835765,0.39177030761953163,0.410383081773011,0.37042303737250526,3484,3484,10,83,83|160|166|184|186|190|331|719|730|735,83,83|160|166|184|186|190|331|719|730|735,0.5894395030354369,0.5567548097605404,0.4555687657370777,independent_evaluator_after_bank_lock
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,COMMON_KMEANS_N20_S0,5f7b1d85603161b683bc0e8c912480a3a1acd891ac0dfa67996967a517f1fb53,0.14804777065938496,0.25994964091055117,0.2550179414582686,0.3194184670913,0.2794302223583565,0.25994964091055117,3484,3484,10,37,37|54|130|160|215|249|265|710|761|903,37,37|54|130|160|215|249|265|710|761|903,0.5052943667937315,0.4050526865713275,0.6060370930995753,independent_evaluator_after_bank_lock
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,OFFICIAL_KMEANS_N10_S0,ca7167190b2aea274884aeb1ee480bbbcd7f3dc65c190e886245b4877e97e8fe,0.15638662807912077,0.2683826862946776,0.2634731563463073,0.32927646359307733,0.2869742921154588,0.26838268629467754,3484,3484,10,39,39|61|123|166|213|217|248|657|756|1004,39,39|61|123|166|213|217|248|657|756|1004,0.5147536354651984,0.41343921000625405,0.5987895623807636,independent_evaluator_after_bank_lock
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,GMM_DIAG_N3_S0,a14c7cf43dedb2298ff65e08a7e02e592b3606b6d1eba37958bc3684cd38e2a1,0.13881257769946348,0.27009721807815634,0.26545817707493247,0.291120289211545,0.3082750059004372,0.27009721807815634,3484,3484,10,117,117|145|159|221|301|356|448|523|590|624,117,117|145|159|221|301|356|448|523|590|624,0.4406325003529578,0.4304751425582759,0.5771726515469049,independent_evaluator_after_bank_lock
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,GMM_FULL_N3_S0,7750bb056bdc1c422b995d84ad7ca2fab728a3d05cab9acdb7a6531041ee722e,0.18450293404344562,0.2877527449035252,0.28310839239212016,0.34015743521259284,0.3188246927853395,0.2877527449035252,3484,3484,10,58,58|103|157|172|242|309|437|471|634|901,58,58|103|157|172|242|309|437|471|634|901,0.45644500917690245,0.3908406624262059,0.6202266745870718,independent_evaluator_after_bank_lock
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,SPARSE_WARD_REGISTERED,0679cd066e268deae9752e6e21444f18d885ff4c4194e7e39f182250f59d7862,0.12741953309069934,0.2496034758838752,0.24409862005645414,0.35331989875999875,0.2358259640306601,0.24960347588387516,3484,3484,10,10,10|48|53|57|67|101|101|498|1204|1345,10,10|48|53|57|67|101|101|498|1204|1345,0.9054073132853311,0.831628496544335,0.1915702236371836,independent_evaluator_after_bank_lock
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,SPARSE_GRAPH_FEATURE12_SPATIAL50,792c3d2b2a0b6631eb2581f90aec71993c049ca0ebb60c7152e8579e008e570d,0.1864341334913332,0.34129206449108546,0.33709168679788964,0.33424801964251644,0.3883209033226992,0.3412920644910855,3484,3484,10,115,115|151|203|219|250|311|411|512|564|748,115,115|151|203|219|250|311|411|512|564|748,0.7767894959762812,0.7671622720819002,0.24174906048910003,independent_evaluator_after_bank_lock
