formal_id,dataset,cluster_k,model_seed,endpoint_seed,fused_minus_coordinate_ari,fused_minus_coordinate_nmi,fused_minus_best_unimodal_ari,fused_minus_best_unimodal_nmi,with_minus_without_coordinate_ari,with_minus_without_coordinate_nmi
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,3,0.0018881875928163927,-0.025634701278569705,-0.05030897182095512,-0.03195662628345697,0.09340641617631051,0.056563985182356724
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,4,0.03942493480497772,0.026324853158196604,0.0473673356386588,0.05768519139194683,0.10176457688064619,0.07741931627666859
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,5,0.03734346183194934,0.020821275228284364,0.021952492474922147,0.021002219956569756,0.04377373841295376,0.11058135183789108
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,6,0.0565795489327412,-0.013583917792004851,0.013522201122235955,0.03645579866161319,0.13037236053232618,0.06207133877735599
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,7,0.035473679373333344,0.009532405586922477,0.004579872011293146,-0.008376104964828879,0.004284600668596483,0.07336298224379095
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,8,-0.006784781970771481,0.005670711690382801,-0.052065045291801004,-0.02376511196831249,0.06513772252137834,0.0960402851183314
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,9,0.02920038541344877,0.0075950284301504745,-0.02939082171702609,0.011313278062450416,0.1476251533411812,0.11050630856569826
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,0,0.04217943236957486,0.0239123983115887,-0.05237117964287474,-0.04052926541125168,0.03226219170252512,0.017601612211209372
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,1,0.00836719205530631,0.0012929256400730504,-0.05461317583221206,0.004435006146541964,0.08135144537913352,0.059280617770546884
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,2,0.03562092520967575,0.025983010484490643,-0.05575499680749607,-0.016712625375769896,0.16466892076269415,0.13792700508985778
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,3,0.06204046167857585,0.0342770213749678,-0.022712614463680003,0.04718113154248088,0.2166198330990834,0.1613259148901215
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,4,-0.028484687489191862,-0.05395450517885031,-0.2293108909813134,-0.12138341897291205,0.06809053335246888,0.041877709459310575
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,5,0.06157903964186015,0.032906152456339544,0.00953951859445712,-0.00514968175835262,0.1836415458004913,0.15182553385453185
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,6,0.026960445941727917,0.011696290908362217,-0.06386309881247365,0.007446220489462307,0.08460788929672841,0.07247597547132156
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,7,0.014548816694149286,-0.021493448954126748,-0.09439930565640739,-0.07466944454381186,0.10719008054202231,0.03338256983522325
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,1,8,-0.029818462903533793,-0.030166812763711415,-0.1330931089114643,-0.034874679786466634,0.11908427324547259,0.07295486272215723
