result_role,formal_id,dataset,cluster_k,control_id,run_count,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,ami_mean,fmi_mean,morans_i_mean,gearys_c_mean,wall_seconds,peak_rss_mib,gpu_seconds,peak_gpu_mib,candidate_id,endpoint_role,source_view,filter_id,pca_dimension,coordinate_basis,coordinate_weight,algorithm,refinement_id,backbone_seed_count,endpoint_seed_count,endpoint_wall_seconds,training_wall_seconds,training_resource_reused_across_k
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,12,,50,0.3559391857360121,0.29940098835395995,0.2955886200735007,0.2329719044972687,0.5887400201934055,0.5382143070701654,0.5385416356013999,0.4956326573678331,0.5345766722179253,0.4222171591884495,0.8897933624992213,0.1103392431713428,1495.291351562366,933.5625,1476.6566874999999,261.78466796875,R10_FIXED_MULTISCALE,BASE_RANDOM_START,z2,LOW_K12_B80_S2,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,10.0,6.468362262472509,1488.8229892998934,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,12,,5,0.3369145691039102,0.2987885538134203,0.2944629892897693,0.2461659945437646,0.572584850928214,0.5363234470488095,0.538779439111366,0.5114173555890886,0.5348110208441185,0.4212910867958145,0.8936806576866634,0.1062320289430109,1488.8229892998934,933.5625,1476.6566874999999,261.78466796875,R10_FIXED_MULTISCALE,LABEL_FREE_PARTITION_MEDOID,z2,LOW_K12_B80_S2,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,1.0,0.0,1488.8229892998934,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,7,,50,0.4401793136249926,0.3752806047170041,0.37621289018461296,0.3091120734384567,0.5631695886138033,0.5113882881394771,0.5153452286441197,0.4747320263674405,0.5127781894270462,0.49693974011323655,0.834840318678326,0.1669358943912123,138.1803114823997,933.9140625,131.372884765625,354.75,R21_MCDF_STRONG_CONTRIBUTION,BASE_RANDOM_START,z1,NONE,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,10.0,5.497661592438815,132.68264988996089,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,7,,5,0.4377279378078701,0.4082416518980457,0.39646314222447837,0.3410783039383393,0.5608546228752919,0.5253465098451905,0.5250612346368049,0.4934408667993261,0.5225145803769733,0.5148012881975148,0.8380981627457567,0.16463458570424327,132.68264988996089,933.9140625,131.372884765625,354.75,R21_MCDF_STRONG_CONTRIBUTION,LABEL_FREE_PARTITION_MEDOID,z1,NONE,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,1.0,0.0,132.68264988996089,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,12,,50,0.3737219564848733,0.3072560127117925,0.3078301422357928,0.2268933566621924,0.5890402683611319,0.5425144650107598,0.5445014531813878,0.4771199894343759,0.5405822867991895,0.43342730002918456,0.887922756977605,0.11198996932904336,139.50742015242577,933.9140625,131.372884765625,354.75,R21_MCDF_STRONG_CONTRIBUTION,BASE_RANDOM_START,z2,LOW_K12_B80_S2,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,10.0,6.824770262464879,132.68264988996089,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,12,,5,0.3367074143850305,0.2892646736293707,0.2980012545761294,0.2793560808877029,0.5680888624144212,0.5341336508659633,0.5412038306905087,0.5283558553580543,0.5372416287174726,0.4242986992378913,0.8844485498338968,0.11516785296898654,132.68264988996089,933.9140625,131.372884765625,354.75,R21_MCDF_STRONG_CONTRIBUTION,LABEL_FREE_PARTITION_MEDOID,z2,LOW_K12_B80_S2,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,1.0,0.0,132.68264988996089,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,7,,50,0.4872135018011183,0.40825816761220113,0.40337294827949527,0.2611467103984318,0.6190662403189457,0.5558337022765105,0.555678078737028,0.4601895282226089,0.5533334142391455,0.5193786902645794,0.9189635909762895,0.08126406380584834,125.92638513445854,939.0546875,118.70121289062499,354.71435546875,R40_MCDF_MASKED_MODALITY,BASE_RANDOM_START,z1,LOW_K12_B80_S2,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,10.0,5.253931580111383,120.67245355434716,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,7,,5,0.4534370125478145,0.4295395809944916,0.41821121079963774,0.377438883225771,0.6057251745384702,0.5760325144221862,0.5683207349161272,0.531364636166136,0.5660420010103782,0.5317329357382586,0.9208694771017027,0.07952297191113744,120.67245355434716,939.0546875,118.70121289062499,354.71435546875,R40_MCDF_MASKED_MODALITY,LABEL_FREE_PARTITION_MEDOID,z1,LOW_K12_B80_S2,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,1.0,0.0,120.67245355434716,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,12,,50,0.3580113627565773,0.3343424040361411,0.3284052696713659,0.2511114667736358,0.573573431102483,0.5527166416694084,0.5513479881818971,0.4866049535875416,0.5474466242195798,0.4520244885937811,0.8266123823114212,0.17595077682002974,127.19520091824234,939.0546875,118.70121289062499,354.71435546875,R40_MCDF_MASKED_MODALITY,BASE_RANDOM_START,z2,NONE,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,10.0,6.522747363895176,120.67245355434716,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,12,,5,0.3455225962743806,0.3350326779328603,0.33716165915564156,0.3341435679506901,0.5680429086917633,0.5593736771220293,0.5596521807999914,0.5474003943917676,0.5558171070657443,0.46002990882606165,0.8253805119035486,0.17767919215779993,120.67245355434716,939.0546875,118.70121289062499,354.71435546875,R40_MCDF_MASKED_MODALITY,LABEL_FREE_PARTITION_MEDOID,z2,NONE,16.0,POLY2,1.2,GMM_DIAG,NONE,5.0,1.0,0.0,120.67245355434716,True
