mode,partition_sha256,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,dataset,lane,candidate_id,mechanism_family,config_sha256,training_seed,endpoint_seed,head,k,total_observations,evaluated_observations,delta_ari_vs_retained,delta_nmi_vs_retained,status,wall_seconds,peak_gpu_mib,peak_rss_mib,experiment_phase
SAPR_RESIDUAL_DISABLED,38287ca843fba5846b3e9454b1591f2076a3ac89e3b443e042f3443a18e355bf,0.1675394159065115,0.2884782696889924,0.2878367523694421,0.4678767928166154,0.6786222012707387,0.3211912032214258,tonsil_s1,tonsil_s1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED,4,4326,4326,0.0067979678010094,-0.0024375083279834,PASS,1.1151725109666586,46.55224609375,918.50390625,SCREEN
RETAINED_TEACHER,ae3066fa154362eec0efeccedfa2790637233655c49a0018b29c865077fe4667,0.4107535716930893,0.6064179094949806,0.6057539990652927,0.4944280545021607,0.8997778442278445,0.1001896341368456,P22,P22,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.0,0.0,PASS,1.1637058332562449,83.58642578125,920.640625,SCREEN
SAPR_FULL,64eaa5f5c54e421110ea071fa2bf4d2bf8c51b2ba8646000040c8b3fe43a4b4a,0.4562614222638684,0.6237151263037289,0.6230689685374785,0.5369426646708443,0.9095864068067364,0.0903710281389733,P22,P22,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.0455078505707791,0.0172972168087482,PASS,1.1637058332562449,83.58642578125,920.640625,SCREEN
SAPR_RESIDUAL_DISABLED,0b946f0c8b1a0babde83aae58ad2ee45ec28e47c767b3695a3b0cb8ab4ccbe92,0.4706813018230936,0.6238147914717789,0.6231685214768742,0.5492727789433397,0.9091966544804856,0.0908415631213667,P22,P22,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_DIAG+REFINE_T0.50_S2,9,9196,9196,0.0599277301300043,0.0173968819767982,PASS,1.1637058332562449,83.58642578125,920.640625,SCREEN
RETAINED_TEACHER,f0e5245b581ecebb6fc50707f93ea024df435dab939a0688bf5d960bc44e2aca,0.3514171699802645,0.5366722568151729,0.534236822998133,0.4758400027867638,0.9214136163000596,0.0784680222496969,MISAR_E15_5_S1,MISAR_E15_5_S1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0,0.0,PASS,1.1408217456191778,30.62744140625,921.140625,SCREEN
SAPR_FULL,5ef5cb1372315ec54150d64cb5be897a4af26184616a4bf3dd5d385e8f6709b4,0.3890597390690575,0.5602537018993158,0.5578643539119151,0.5129372114643573,0.9122452552984688,0.0879185689879178,MISAR_E15_5_S1,MISAR_E15_5_S1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0376425690887929,0.0235814450841428,PASS,1.1408217456191778,30.62744140625,921.140625,SCREEN
SAPR_RESIDUAL_DISABLED,6297c2442627d24629e2a0184c1fb45dd48e5c145dc2bee72cbf3e22e20b29fd,0.3894466070255479,0.5471755083803489,0.5447255693361966,0.513247690147604,0.8822708971715884,0.1173882249535434,MISAR_E15_5_S1,MISAR_E15_5_S1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0380294370452833,0.0105032515651759,PASS,1.1408217456191778,30.62744140625,921.140625,SCREEN
RETAINED_TEACHER,2d2dd19e9e9bb20cc27f7029d5b14bcb154c0738e8d5bcda56355c7eb1ea1553,0.3561334252217696,0.5778900366307157,0.574222982664307,0.4774940691101633,0.8696600857674022,0.1306894984666931,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,1,GMM_TIED+REFINE_T0.50_S2,12,1949,1949,0.0,0.0,PASS,1.1120623983442783,30.74267578125,921.76171875,SCREEN
SAPR_FULL,0d229cf79bc9f1e846cd097a180cf2e4a78885fe741a7ee39b614b4e2dd9a013,0.3578113617444312,0.5779279917091268,0.5742909857888977,0.4798163165109205,0.8730234668542382,0.1269894128964972,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,1,GMM_TIED+REFINE_T0.50_S2,12,1949,1949,0.0016779365226615,3.795507841108936e-05,PASS,1.1120623983442783,30.74267578125,921.76171875,SCREEN
SAPR_RESIDUAL_DISABLED,810cf66277c9aabe0bcbf58665d7237f8a31f87c930043897c376cc4405c9403,0.3761014341920952,0.5824819261366304,0.5788736722798439,0.4967360844643633,0.8688120589954531,0.1312024141292967,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,1,GMM_TIED+REFINE_T0.50_S2,12,1949,1949,0.0199680089703255,0.0045918895059147,PASS,1.1120623983442783,30.74267578125,921.76171875,SCREEN
RETAINED_TEACHER,778247f76e4d3e1a47fee244da2297fa1b48dcd34db7ff29a9bd5960b8065aa7,0.2389411529541879,0.3928634402768866,0.3889277017461162,0.3845863966718307,0.5687759284703141,0.4327094670922682,A1,A1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,0.0,0.0,PASS,0.825176602229476,41.298828125,922.44140625,SCREEN
SAPR_FULL,0982239c02ad8a576b89903fdc552e48a215d24ae7ae5e33845e2eb401b17bd6,0.2435806515596291,0.3988011158113519,0.3949591475002997,0.384342949192594,0.5067047775645501,0.4930570926350426,A1,A1,S12_STABILITY_TRUST_WEAK,STABILITY_TRUST,2b28ec93cd2c90c455398ad297ef81150878a6589315741b6b94c6e2c7d02513,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,0.0046394986054411,0.0059376755344653,PASS,0.825176602229476,41.298828125,922.44140625,SCREEN
