export,dataset,lane,candidate_id,training_seed,endpoint_seed,head,mode,k,total_observations,evaluated_observations,partition_sha256,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,delta_ari_vs_retained,delta_nmi_vs_retained,status
FINAL_S10_STABILITY_TRUST_A1_seed2.npz,A1,A1,S10_STABILITY_TRUST,2,0,GMM_TIED+REFINE_T0.90_S1,SAPR_RESIDUAL_DISABLED,10,3484,3484,ae2fc340d41c3574532b450325f1ca55a90f0b28ba7b878449f82916d4f6fdc6,0.23834063230360134,0.39180285475105403,0.3879270201073179,0.378887077260717,0.5005104981992482,0.5021115989593244,-0.019488515263586997,-0.022252924045908673,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_K12_seed1.npz,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,1,1,GMM_TIED+REFINE_T0.50_S2,RETAINED_TEACHER,12,1949,1949,490d71c6389b20a249adba2dcefc2951393ec9431701f1a6409314d50adaf39c,0.3649028845499023,0.5901197781116109,0.5865711181388696,0.48608808928280395,0.8641262084302346,0.13617967938932204,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_K12_seed1.npz,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,1,1,GMM_TIED+REFINE_T0.50_S2,SAPR_FULL,12,1949,1949,9340660ea2a4ef8f66a358002a914795db2a876f76bd480e9605580cbc8218a7,0.3599448018136283,0.5819759817940623,0.5783699471566949,0.4817759287082974,0.8798481542628842,0.11867853306316319,-0.004958082736273961,-0.00814379631754858,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_K12_seed1.npz,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,1,1,GMM_TIED+REFINE_T0.50_S2,SAPR_RESIDUAL_DISABLED,12,1949,1949,c95be2b8c76f3b702642e877f95bc15a4f6115c60a03b7e786d5e699ebd71bcc,0.3877283432540466,0.599398442984791,0.5959631024059481,0.5084731545230079,0.8745578938293633,0.12582989818383042,0.02282545870414432,0.009278664873180076,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_K12_seed2.npz,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,2,1,GMM_TIED+REFINE_T0.50_S2,RETAINED_TEACHER,12,1949,1949,490d71c6389b20a249adba2dcefc2951393ec9431701f1a6409314d50adaf39c,0.3649028845499023,0.5901197781116109,0.5865711181388696,0.48608808928280395,0.8641262084302346,0.13617967938932204,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_K12_seed2.npz,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,2,1,GMM_TIED+REFINE_T0.50_S2,SAPR_FULL,12,1949,1949,3eb7237910499c8e9221f960a827cc8342c0ca0ef355a3433f577adf37df6e39,0.32656926819939347,0.5503946256863084,0.5464535868508199,0.4496000889396003,0.8753927793917184,0.1238620477002277,-0.0383336163505088,-0.0397251524253025,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_K12_seed2.npz,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,2,1,GMM_TIED+REFINE_T0.50_S2,SAPR_RESIDUAL_DISABLED,12,1949,1949,fda23ff3fdb7931f07f964f7e381c3e4d28e439206c7000bc9675eafe1b8a988,0.34059122092641814,0.567959136225762,0.5642491021306307,0.46365002551413625,0.871188549411494,0.1293874062068416,-0.024311663623484137,-0.022160641885848875,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_seed1.npz,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,1,0,GMM_TIED+REFINE_T0.50_S1,RETAINED_TEACHER,7,1949,1949,f7048aa7545e1c749a2983955b0db6e78ccbbe7698780e39d34f8644286bc7fc,0.4202531069070573,0.5757809181210183,0.5735425061161218,0.5339403282518571,0.901507202268202,0.09838669799678657,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_seed1.npz,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,1,0,GMM_TIED+REFINE_T0.50_S1,SAPR_FULL,7,1949,1949,b9c1bb5d69c8256735de48da597b96a5aa90a33b30be46d8befe5d8864ccaf25,0.4471404659202894,0.5885388663969304,0.5863461669752269,0.5570160332659048,0.9110561721004625,0.08931093572330469,0.02688735901323208,0.012757948275912145,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_seed1.npz,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,1,0,GMM_TIED+REFINE_T0.50_S1,SAPR_RESIDUAL_DISABLED,7,1949,1949,64c3cdaa28df10929a02beab9525635780848141c2e7f21a944e03efac73c6fc,0.4048119582076892,0.5702845361628691,0.567968043303444,0.5228068111216103,0.9125969293668321,0.08865651330997437,-0.015441148699368079,-0.005496381958149166,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_seed2.npz,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,2,0,GMM_TIED+REFINE_T0.50_S1,RETAINED_TEACHER,7,1949,1949,f7048aa7545e1c749a2983955b0db6e78ccbbe7698780e39d34f8644286bc7fc,0.4202531069070573,0.5757809181210183,0.5735425061161218,0.5339403282518571,0.901507202268202,0.09838669799678657,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_seed2.npz,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,2,0,GMM_TIED+REFINE_T0.50_S1,SAPR_FULL,7,1949,1949,a8f074fd4869bd3b04f5a0a185598cd4f9e3cba5d064e13296ce4c2ca3e064fc,0.3829878400541351,0.5633502590562509,0.5610451994984575,0.502316083985301,0.9236713120199944,0.07912214994835089,-0.037265266852922196,-0.012430659064767369,PASS
FINAL_S10_STABILITY_TRUST_MISAR_E15_5_S1_seed2.npz,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,2,0,GMM_TIED+REFINE_T0.50_S1,SAPR_RESIDUAL_DISABLED,7,1949,1949,2edef96c23e5275263a215e0bf3449fb6ee0ed4279f27152cf475b12358fefb2,0.41666673072087845,0.5729417121127405,0.5706597870428096,0.5327852395162744,0.9063319587660134,0.0922400174890416,-0.0035863761861788523,-0.002839206008277806,PASS
FINAL_S10_STABILITY_TRUST_P22_seed1.npz,P22,P22,S10_STABILITY_TRUST,1,0,GMM_DIAG+REFINE_T0.50_S2,RETAINED_TEACHER,9,9196,9196,3d9a3c72773b85ae5471552e850c9e99360b10931537c300faf0ce7c92416242,0.520475386018739,0.6523396202874471,0.6517471308210926,0.5908913418260602,0.9010260724031267,0.100586413756361,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_P22_seed1.npz,P22,P22,S10_STABILITY_TRUST,1,0,GMM_DIAG+REFINE_T0.50_S2,SAPR_FULL,9,9196,9196,9cde39184d3a4df62c77aa51e512aeb6f2321a28614f62b8b943910334a759a9,0.4475018644767649,0.6148859376186963,0.6142240226158693,0.5296629733269224,0.9161469349562902,0.08511377954934951,-0.07297352154197412,-0.03745368266875082,PASS
FINAL_S10_STABILITY_TRUST_P22_seed1.npz,P22,P22,S10_STABILITY_TRUST,1,0,GMM_DIAG+REFINE_T0.50_S2,SAPR_RESIDUAL_DISABLED,9,9196,9196,4b1c699e0db6cc80859f82efa233df661806688798987b38a017d8bb03164932,0.5051210931429888,0.6434231504364049,0.6428141673185195,0.5779877020311186,0.9092848111944143,0.09212900103336231,-0.015354292875750186,-0.008916469851042219,PASS
FINAL_S10_STABILITY_TRUST_P22_seed2.npz,P22,P22,S10_STABILITY_TRUST,2,0,GMM_DIAG+REFINE_T0.50_S2,RETAINED_TEACHER,9,9196,9196,3d9a3c72773b85ae5471552e850c9e99360b10931537c300faf0ce7c92416242,0.520475386018739,0.6523396202874471,0.6517471308210926,0.5908913418260602,0.9010260724031267,0.100586413756361,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_P22_seed2.npz,P22,P22,S10_STABILITY_TRUST,2,0,GMM_DIAG+REFINE_T0.50_S2,SAPR_FULL,9,9196,9196,eb5fb52d5994c3c3fa787b5d71f048018f9195c5970a6fb0454e09cf551ed7a0,0.4809211838761509,0.6237186075512252,0.6230716800366933,0.5581113108207375,0.9102331216225072,0.09270649525889732,-0.03955420214258809,-0.028621012736221862,PASS
FINAL_S10_STABILITY_TRUST_P22_seed2.npz,P22,P22,S10_STABILITY_TRUST,2,0,GMM_DIAG+REFINE_T0.50_S2,SAPR_RESIDUAL_DISABLED,9,9196,9196,a8ea418ea34af984e9b4712be788250a03b15272adee41f74220df3fca0b3525,0.4836652745390048,0.6264854727695124,0.6258433596755845,0.5600522580717732,0.8985685571381885,0.10382807722970085,-0.036810111479734176,-0.02585414751793469,PASS
FINAL_S10_STABILITY_TRUST_tonsil_s1_seed1.npz,tonsil_s1,tonsil_s1,S10_STABILITY_TRUST,1,0,GMM_TIED,RETAINED_TEACHER,4,4326,4326,e00097201bac0e1b77f460806ab298a37815429cac695d94b7e6f70ec955dc3f,0.20794671327245837,0.29692796064998944,0.2963090322074574,0.4850370511068504,0.6896963427359472,0.31032697454286096,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_tonsil_s1_seed1.npz,tonsil_s1,tonsil_s1,S10_STABILITY_TRUST,1,0,GMM_TIED,SAPR_FULL,4,4326,4326,d18576884bd5d2d7cc557f14d3bcad9b51b3cc24b118747757a39d96e04b4754,0.1709727295157985,0.2844149411587767,0.2837857328016362,0.4599787400935864,0.6965663367650508,0.30351023539740085,-0.03697398375665986,-0.012513019491212751,PASS
FINAL_S10_STABILITY_TRUST_tonsil_s1_seed1.npz,tonsil_s1,tonsil_s1,S10_STABILITY_TRUST,1,0,GMM_TIED,SAPR_RESIDUAL_DISABLED,4,4326,4326,c1fec7e2bd13ebd9aff43705f053cf95a7222c8ea75ee05fd2963b6c0c21fd55,0.10799144925974491,0.251979972158603,0.25131652469077276,0.42468962437407975,0.6333753790961583,0.36488233048555135,-0.09995526401271346,-0.044947988491386426,PASS
FINAL_S10_STABILITY_TRUST_tonsil_s1_seed2.npz,tonsil_s1,tonsil_s1,S10_STABILITY_TRUST,2,0,GMM_TIED,RETAINED_TEACHER,4,4326,4326,e00097201bac0e1b77f460806ab298a37815429cac695d94b7e6f70ec955dc3f,0.20794671327245837,0.29692796064998944,0.2963090322074574,0.4850370511068504,0.6896963427359472,0.31032697454286096,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_tonsil_s1_seed2.npz,tonsil_s1,tonsil_s1,S10_STABILITY_TRUST,2,0,GMM_TIED,SAPR_FULL,4,4326,4326,80c08ea3c8c6c41c8eaaee1a682491a6a2fd0370cfc0eb13f51305a1de5a1600,0.16998477468187898,0.2841257332355212,0.28349616135737565,0.4593673864810646,0.696742342659781,0.3032287701678734,-0.03796193859057939,-0.012802227414468237,PASS
