ari,boundary_disagreement,candidate_id,effective_end_to_end_runtime_seconds,gpu_peak_allocated_mib,manifest_sha256,nmi,q,seed,spatial_cluster_geary_mean,spatial_cluster_moran_mean,spatial_neighbor_agreement
0.4087250899366519,0.1824462034316049,B01_C04_SHRINK25,42.35168032813817,1632.75048828125,0a71992e33e7b4426cc24ee9d4a7edd217718ce4e296b7f9723099580edc16dc,0.5506586166683997,0.4796918533025258,6,0.23917303583402758,0.7684921151304843,0.8235577968682035
0.40338665435122906,0.20898900369703288,B01_C04_SHRINK25,38.24981956835836,1631.056640625,cded4644639c35dee928562931871803cdef68126eb946a0751e3698dab954bf,0.5370203639764564,0.4702035091638427,7,0.2609139845641911,0.7474930184336693,0.7987508155719878
0.3632723808866837,0.15569011280690112,B01_C04_SHRINK25,41.49384968075901,1632.75048828125,4013e6ce2b2a88f6d3ef352a5c986d8d97a5d8a8d7dadc90719e4ee0718fb2c0,0.5405885469707881,0.45193046392873587,8,0.23400310198908614,0.7749329764269227,0.8503493366681165
0.4055210481778625,0.18970992511138496,B01_C04_SHRINK25,42.8001155378297,1631.056640625,6242188341005bdf73227fe61ea65c04119b4c7eb9639d012d302a8ea4165fd5,0.5435771558155924,0.47454910199672745,9,0.23029535269005613,0.7780114082056774,0.8180322966507177
0.4005923147114368,0.20172528201725282,B10_SHRINK25_ANCHOR10,42.16985787730664,1628.8330078125,0a31108238b84ee76833d9ca14f77c62c08652597f7138cc05964567aab351ae,0.5356683308091109,0.4681303227602739,0,0.24742818505190498,0.7609600901282757,0.8056084167029143
0.4108083238564004,0.17684140676841406,B10_SHRINK25_ANCHOR10,42.22585406061262,1629.52783203125,bf692da07a201d13d247e32f0abf9aeb65400490339c3676c91a42b55a0f07b3,0.5461528921988076,0.478480608027604,1,0.23331674896182283,0.7759379971127249,0.8305241409308395
0.3824174966678621,0.19257749549720352,B10_SHRINK25_ANCHOR10,41.39102804567665,1628.052734375,f903cf30fabdf5f1a7dc698c41d38ba23411c85d94f57ce373a8b6c5597fced5,0.5241881957654698,0.45330284621666594,2,0.2607459635106959,0.7487095530397596,0.8145593192692475
0.4003650348157888,0.19245900085316145,B10_SHRINK25_ANCHOR10,42.23641041666269,1629.3544921875,4d62fb3794f7c16a7c1e17fcb379278b71c1afd9036b36cfcc2c94ae2ce62d90,0.5408706131232857,0.4706178239695372,3,0.2360094411345387,0.7723869331682525,0.8148583623314485
0.4211752780656883,0.18449616077353304,B10_SHRINK25_ANCHOR10,41.98574295360595,1627.7255859375,14193220b03217447bb2d2e9859eecd6e552caf9fd52877772331a9bc7431f8b,0.5514907589460529,0.48633301850587063,4,0.24031696033917152,0.7675607335936036,0.8225927033492823
0.39458216406872215,0.202756185420419,B10_SHRINK25_ANCHOR10,40.531787579879165,1627.2275390625,cdf4bf99a44463d5a8d1beb52f6ffe02458771c4bb96bbeb9b64b8dd85b7b63e,0.5325958199888948,0.4635889920288085,5,0.24817262044437616,0.7598044732870401,0.8048676054806437
0.3622279934374939,0.19743577590292918,B10_SHRINK25_ANCHOR10,42.43299117218703,1629.81982421875,11cf5e5b18ce3209901eda8d86cf2d868701913085d9aaa10c9063da88a684e4,0.5105431349889964,0.43638556421324515,6,0.24221972196171285,0.7655641267956219,0.8095911265767725
0.324235269541307,0.2080528960091004,B10_SHRINK25_ANCHOR10,41.767084575258195,1628.06396484375,07f00faa9ba4fa754c3d61bc0319fb51d6dd2444bd4d3613d290f427098b64a7,0.4767558553432069,0.4004955624422569,7,0.27575561847772506,0.7346515463584837,0.7997634841235319
0.4300524272018085,0.18211441842828704,B10_SHRINK25_ANCHOR10,42.75098995119333,1628.19189453125,0e2f536a5512d83e960f28cf7991b636d3598ee26278574ac4ad5517ed2b5617,0.5603655990634585,0.4952090131326335,8,0.23764512408430313,0.7693696630767872,0.8248015441496303
0.43606238752028204,0.17603564318892786,B10_SHRINK25_ANCHOR10,42.74992318358272,1627.99560546875,1ef2f9184af36d99a9108c79e0f5f3a581d805e72bed3956d4afda86fbe26a05,0.5660503804821689,0.5010563840012254,9,0.2270643919177083,0.7797766500483845,0.8309115376250543
0.4250471486785575,0.18529007488861504,C09_RNA_ANCHOR10,37.781448303721845,1304.48779296875,44541804afb205cd581511013c9afdbca6885f1294abe565145802529b1187ca,0.554343190456048,0.48969516956730275,0,0.24517538327504507,0.7615967864026278,0.8217839277946933
0.39270985958923055,0.21634752109204664,C09_RNA_ANCHOR10,37.78846477530897,1303.384765625,e2884cc6b17283abeb26f5dfc9b2bfda7fd4cb325c21c8fa147947981fdf0ecb,0.524918937984682,0.4588143987869563,1,0.284208720223629,0.724380644223358,0.7912883318834276
0.3986588834484498,0.21667930609536448,C09_RNA_ANCHOR10,37.910811392590404,1304.1552734375,eede52d0f452dabd8a483bd061ebb7ad2fb236f4f0425e42c9af8d02f91f1e83,0.5268205610327094,0.4627397222405796,2,0.2840358449234618,0.7241206673948856,0.790887342322749
0.3905427515776903,0.2047468954403261,C09_RNA_ANCHOR10,37.89552391599864,1302.14501953125,927d0ebb671c8bcfa1a6e73741d85ca947b8d1ad8fb5d3a1085b9694274870fb,0.5255998023491463,0.4580712769634183,3,0.26885585505890575,0.7394509103127657,0.8024412788168769
