lane,candidate_id,config_id,arm,endpoint_seed,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,min_internal_spatial_edges,internal_spatial_edges,partition_sha256,evaluator_label_reads,operator_nnz,candidate_wall_seconds,producer_total_wall_seconds,producer_peak_rss_mib,gpu_seconds
MISAR_K7,S01_LOCAL__SPATIAL_ONLY_DIFFUSION__E0,S01_LOCAL,SPATIAL_ONLY_DIFFUSION,0,0.3738258203773395,0.4941340877534926,0.4915028485837945,0.49296690173455626,0.9561723052280651,0.9490918030457418,0.05108723388013293,220,"[256,380,234,367,264,220,228]",434,"[497,756,463,703,562,434,447]",f58859ef558db8afb77eec80ff4b57823d0b6f07ad549bd6b602dd9ea65f0313,1,10019,0.1531543731689453,5.6781792640686035,144.97265625,0.0
MISAR_K7,S01_LOCAL__CONCATENATED_FEATURE_KNN__E0,S01_LOCAL,CONCATENATED_FEATURE_KNN,0,0.02461207408434004,0.19854363263509242,0.19293499489633817,0.34712289021134024,0.7860452496556922,0.613824005632819,0.38894154160531696,38,"[57,1340,262,87,50,115,38]",44,"[99,2396,320,105,77,129,44]",b0edaf96c238e50ff91dceac77ebcd167c02fda84edf37a5f8db1788e79f53eb,1,15619,0.10750770568847656,5.6781792640686035,144.97265625,0.0
MISAR_K7,S01_LOCAL__SIMPLE_OPERATOR_AVERAGE__E0,S01_LOCAL,SIMPLE_OPERATOR_AVERAGE,0,0.24738941707499604,0.4281275556377111,0.42507599598809687,0.39437776251966306,0.8093104548270242,0.7792468061652513,0.22075967825849033,136,"[193,381,136,158,417,465,199]",212,"[307,615,212,296,737,767,336]",a6abc1e7d9d405382e8886fe5bae22cfe8e214009e4db86aaee718f1b3a67b30,1,32107,0.11600112915039062,5.6781792640686035,144.97265625,0.0
MISAR_K7,S01_LOCAL__CLASSICAL_ALTERNATING_RA__E0,S01_LOCAL,CLASSICAL_ALTERNATING_RA,0,0.03936073694010623,0.23978139445297886,0.23477201684419619,0.33882543556466665,0.7464429677022294,0.5718051955311027,0.42957833848611215,68,"[86,1251,82,82,107,68,273]",89,"[110,2187,90,117,137,89,286]",ae1eb11faa13b9c5f3b87a6fc59c9228d4dea3805c6ddad21f8cec123da26f9e,1,36518,0.21580791473388672,5.6781792640686035,144.97265625,0.0
MISAR_K7,S01_LOCAL__SPATIALLY_ANCHORED_ALTERNATING__E0,S01_LOCAL,SPATIALLY_ANCHORED_ALTERNATING,0,0.1728622868825673,0.27693152106705093,0.2728996173008253,0.34676534801935394,0.5940556545656109,0.5147524146493742,0.4855171623466262,61,"[422,565,103,156,191,61,451]",86,"[517,854,110,167,244,86,417]",6a0b2c8c06d5c68a5f37f81cdccccadf26cf0b1109d2a6205f5c0685b194b9b4,1,39364,0.2974560260772705,5.6781792640686035,144.97265625,0.0
MISAR_K7,S01_LOCAL__CSAD_FULL__E0,S01_LOCAL,CSAD_FULL,0,0.18190405320501457,0.28009277155395035,0.2761385751204445,0.35048211716417854,0.6159694393046086,0.533265257296501,0.4674204835824322,98,"[98,494,450,125,150,474,158]",127,"[127,602,624,132,188,628,184]",603d24fcd0ae1293f71dc1df9c9ed1f06718f4e28e72822eaba1652a085ac44f,1,38467,0.337644100189209,5.6781792640686035,144.97265625,0.0
MISAR_K7,S01_LOCAL__CSAD_CONFLICT_DISABLED__E0,S01_LOCAL,CSAD_CONFLICT_DISABLED,0,0.1350708524394633,0.27357247300694326,0.26948355709835997,0.3251670931771862,0.6156175512752918,0.5452433520777998,0.45486624023379185,63,"[172,629,193,149,576,167,63]",93,"[235,861,231,173,715,175,93]",23cdd10d595c20c7f922029b76b6344d8d2fbd95096dfab44d197d88fcce6767,1,38366,0.3099191188812256,5.6781792640686035,144.97265625,0.0
MISAR_K7,S01_LOCAL__CSAD_MODALITY_EDGE_PERMUTED__E0,S01_LOCAL,CSAD_MODALITY_EDGE_PERMUTED,0,-0.0007982409584690453,0.003769379642447219,-0.0013784104463031265,0.17530842842901073,0.1531620682120254,0.011491565581092582,0.9879764110513075,254,"[271,256,290,296,284,298,254]",75,"[78,75,104,102,91,93,78]",99c70056d3d44eede2a09f6e8fb7fe6ffd11503f4890a4698ec43cf3a7a470d0,1,39797,0.44736337661743164,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__RNA_ONLY_DIFFUSION__E0,S02_MESOSCALE,RNA_ONLY_DIFFUSION,0,0.14240838335356362,0.269094051743735,0.26500741509981074,0.32556655341359125,0.6189972926485535,0.5140876682113541,0.4859880349978965,85,"[85,517,338,111,211,99,588]",95,"[105,792,398,95,234,125,742]",89b33d5e85eacf4300e5665d2a57f8915d2e6aa4612c218cf07123aacf05e622,1,30115,0.12003755569458008,5.6781792640686035,144.97265625,0.0
MISAR_K7,S02_MESOSCALE__ATAC_ONLY_DIFFUSION__E0,S02_MESOSCALE,ATAC_ONLY_DIFFUSION,0,0.02409540258150527,0.23576841235918305,0.2305155713141718,0.3428904143366359,0.801099253849531,0.6138641561026733,0.3882382608173893,34,"[83,1326,99,62,34,105,240]",37,"[138,2436,129,102,37,91,299]",7234ae16aba6a458160d19842d4ff136639d86fcc2b03de9626ebf517ca49cb4,1,29661,0.13616228103637695,5.6781792640686035,144.97265625,0.0
