lane,candidate_id,arm,operator_nnz,operator_sha256,finite,nonnegative,symmetry_max_abs,reliability_min_median_max,reliability_unique_count,dense_n_by_n_count
MISAR_K7,S02_MESOSCALE__ATAC_ONLY_DIFFUSION__E0,ATAC_ONLY_DIFFUSION,29661,e400da3972c6afa1296c8e77dcb66c8b002888db503d768c8ac4e7ed007ca457,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
MISAR_K7,S02_MESOSCALE__SPATIAL_ONLY_DIFFUSION__E0,SPATIAL_ONLY_DIFFUSION,15615,05c4defeed567cb2e4f39f642058139b7f4195d541ade2104553dc783ed8234d,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
MISAR_K7,S02_MESOSCALE__CONCATENATED_FEATURE_KNN__E0,CONCATENATED_FEATURE_KNN,27661,32e8bdc25855b6f3ba3563ff1d3fc9fdd7d48ef19786388c08d9bf6b48aa242a,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
MISAR_K7,S02_MESOSCALE__SIMPLE_OPERATOR_AVERAGE__E0,SIMPLE_OPERATOR_AVERAGE,49845,f36de88ca13fbbcb16f051c4c0e15a7212234da7b3ff24773dc13078cbfe469c,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
MISAR_K7,S02_MESOSCALE__CLASSICAL_ALTERNATING_RA__E0,CLASSICAL_ALTERNATING_RA,54516,f119a8488ad33febcdd755e201801634e0ead26ccf03d665f5d2d13c65ed7dd1,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
MISAR_K7,S02_MESOSCALE__SPATIALLY_ANCHORED_ALTERNATING__E0,SPATIALLY_ANCHORED_ALTERNATING,59669,dea7502f36393e15bfbe33766bd82deca03c021cfb4ef9f940955d17b8754e13,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
MISAR_K7,S02_MESOSCALE__CSAD_FULL__E0,CSAD_FULL,60877,a4028c0605fc98bfb5249927b42030e4e4a3037ef34259f14cf3365ef89d1f99,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
MISAR_K7,S02_MESOSCALE__CSAD_CONFLICT_DISABLED__E0,CSAD_CONFLICT_DISABLED,59152,9f5f9485364fe052151b50f72317ccce60e2a132f4b4d2a8c883c45694014327,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
MISAR_K7,S02_MESOSCALE__CSAD_MODALITY_EDGE_PERMUTED__E0,CSAD_MODALITY_EDGE_PERMUTED,58109,3fc1b4f906f8e4ff1b5392c7214589fff304d09833e64faab2522ae2f04175ed,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__RNA_ONLY_DIFFUSION__E0,RNA_ONLY_DIFFUSION,24458,c89f57df7d05d14d0aa6a920dff6ad185a39180e5f01d4aed5d8b33113261abb,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
HUMAN_HIPPOCAMPUS_K7,S01_LOCAL__ATAC_ONLY_DIFFUSION__E0,ATAC_ONLY_DIFFUSION,21062,32efa6389827a190dd0a082d1938ce12df19530c4000e3bb93210ffbff2d9285,True,True,0.0,"[0.02047446673283525,0.0319479536873942,0.4500265963226373]",2500,0
