absolute_ari,absolute_nmi,ami,candidate,cluster_sizes,fmi,graph_same_fraction,k,lane,margin__molecular_fused,margin__molecular_morph_coord,margin__morph_handcrafted,margin__morph_resnet,margin__retained,margin__view1,margin__view2,min_cluster_relative_to_equal,min_cluster_size,normalized_cluster_entropy,partition_centrality_median_ari,partition_sha256,separation__molecular_fused,separation__molecular_morph_coord,separation__morph_handcrafted,separation__morph_resnet,separation__retained,separation__view1,separation__view2,wall_seconds_lane
0.164664463923646,0.27874146154012414,0.27401315452851654,gmm_diag::view2::s1,"[343,1419,145,200,229,136,204,1141,87,453,38,1619,352,342,1221,174,508,585]",0.2527375655509417,0.26907206899761116,18,P22_3DOT_K18,0.11576782912015915,,,,0.1148756742477417,0.09244043380022049,0.24506855010986328,0.0743801652892562,38,0.8663256810513279,0.18267770469009825,c860f70593e06a33269c4b70aaed15c24383a5f3703b11125887cffc4136495a,0.11902076005935669,,,,0.10724657773971558,0.08459669351577759,0.21155279874801636,46.75442480001948
0.1413513380275713,0.38941753011280383,0.3848936493724001,gmm_tied::view2::s0,"[204,284,483,226,369,1560,39,112,288,57,49,4285,289,302,55,202,187,205]",0.2974433697599798,0.48540315825396335,18,P22_3DOT_K18,0.1606677621603012,,,,0.1527484804391861,0.09161701053380966,0.33659663796424866,0.07633753806002609,39,0.6807716397775154,0.15610534772768664,67ec7eb7a702036dbf24a772a593fa4db338ccf6b44a7acc8f53c7af8af7653a,0.15905076265335083,,,,0.15675443410873413,0.08931636810302734,0.29079633951187134,46.77106970001478
0.1459348496425324,0.3800517661488531,0.37555214175228374,gmm_tied::view2::s1,"[304,4022,56,323,206,216,204,421,48,400,39,436,303,108,1523,309,210,68]",0.2913998801139267,0.44913597865541527,18,P22_3DOT_K18,0.15971076488494873,,,,0.1552402526140213,0.10654425621032715,0.3339419662952423,0.07633753806002609,39,0.7101265375563065,0.16063300640580505,57f0022777470cde63602c87306907864c3b7b12692f6568a44bafcae7181997,0.1615689992904663,,,,0.1543470025062561,0.09685301780700684,0.29460734128952026,46.7864591999969
0.2862491263544657,0.40282116715832017,0.3990307488136813,kmeans::molecular_fused::s0,"[978,438,1287,341,380,209,420,652,349,121,367,1091,39,50,619,1085,350,420]",0.35576274873654834,0.3456705860453572,18,P22_3DOT_K18,0.15209244191646576,,,,0.1454399824142456,0.12491407245397568,0.20093506574630737,0.07633753806002609,39,0.9134598563780371,0.27036765749205083,a073d3fc852c639880f5fa090ad409967325b741e4d8c6051106dce2393a49f1,0.18146735429763794,,,,0.1656053066253662,0.15240824222564697,0.26990389823913574,46.805532200000016
0.3148149817352919,0.41861011354727345,0.4148818061174926,kmeans::molecular_fused::s1,"[347,393,360,121,618,341,468,49,440,394,669,1435,1312,411,39,272,204,1323]",0.38352287346087865,0.3713895696956535,18,P22_3DOT_K18,0.1591803878545761,,,,0.1527543067932129,0.121022067964077,0.21703709661960602,0.07633753806002609,39,0.8973534399169054,0.2853295315958279,84ebd98cf9a677ef4acebefa3b5e8551a5e05fe3cd314d307f2503a497dbe39e,0.1836438775062561,,,,0.16753697395324707,0.14438259601593018,0.28250300884246826,46.821675999992294
0.2785891388348456,0.3796904146632796,0.37576854305940627,kmeans::molecular_fused::s2,"[107,51,273,375,459,438,644,383,40,968,428,346,604,357,381,1276,1062,1004]",0.3483274420653329,0.3261253994353613,18,P22_3DOT_K18,0.15282802283763885,,,,0.14833909273147583,0.1236848384141922,0.20609837770462036,0.078294910830796,40,0.9194403564677546,0.2604521240940472,fd359305e06fb0c373a94c5c98548a0cc77c0d3d7990178eacf20dca58f4c02a,0.182015061378479,,,,0.1623096466064453,0.14776945114135742,0.2706593871116638,46.8391055999964
0.32015613705351514,0.46130920655487606,0.45788103860486656,gmm_diag::molecular_fused::s0,"[488,952,619,184,151,120,477,674,575,1109,192,721,653,38,77,555,1335,276]",0.386681281435801,0.38348897093041295,18,P22_3DOT_K18,0.11434231698513031,,,,0.1241079717874527,0.09917720407247543,0.1968342661857605,0.0743801652892562,38,0.9112360361034116,0.29039993953284465,7264038249eda809c87bc8f44cb77022a02086cb01f6cf0a6af664fa68a0f713,0.143684983253479,,,,0.14059430360794067,0.14105695486068726,0.2238895297050476,46.85669760001474
0.39333663978911787,0.46527833302672544,0.461953367342341,gmm_diag::molecular_fused::s1,"[153,688,180,485,965,607,1724,249,473,262,38,131,550,78,1120,1,704,788]",0.4552454201842142,0.4271709117984674,18,P22_3DOT_K18,0.13046300411224365,,,,0.14394935965538025,0.11697421967983246,0.1989591121673584,0.0019573727707699,1,0.8762548826925167,0.3270756679769782,dffa9177c30d0b788f98e8843b3b742fd95bdc22be11fbf3d5de89347b3a5254,0.1502758264541626,,,,0.15440785884857178,0.145135760307312,0.22947734594345093,46.87446789999376
0.34712716824602274,0.5325097485123435,0.5294372609035668,gmm_tied::molecular_fused::s0,"[363,113,53,1239,39,121,969,1409,289,194,376,880,354,642,325,120,183,1527]",0.4155446791282855,0.46477212794341205,18,P22_3DOT_K18,0.12405245751142502,,,,0.1291932761669159,0.10310327261686325,0.21390311419963837,0.07633753806002609,39,0.8627229801119464,0.29282323652018893,893f188207e2a50d53540d42eb37fbf3b0dc542144efa36058234c6f2d1b8bfa,0.16627651453018188,,,,0.16958576440811157,0.14863473176956177,0.2669903635978699,46.89215930001228
0.4595442479556034,0.5317767344020502,0.52877705442237,gmm_tied::molecular_fused::s1,"[120,426,178,51,205,648,2178,376,267,361,39,113,386,6,1372,1,1392,1077]",0.5250592462587633,0.5542146247634412,18,P22_3DOT_K18,0.14070101082324982,,,,0.15516655147075653,0.12440759688615799,0.23145641386508942,0.0019573727707699,1,0.8007306131266034,0.3346618705023583,d9736fc00f0d322b36a3986fa1131c1e8e0f13728ed46201d4a975f7cbb06363,0.16796374320983887,,,,0.17608356475830078,0.1436704397201538,0.26821303367614746,46.908082500012824
0.4202531069070573,0.5757809181210183,0.5735425061161218,teacher::MORAN_R20_mcdf__P18_B65_S2|GMM_TIED+REFINE_T0.50_S1|0,"[275,214,304,217,212,540,187]",0.5339403282518571,0.9208254061173716,7,MISAR_E15_5_S1,0.09504589438438416,,,,0.25118741393089294,0.11627844721078873,0.10256161540746689,0.6716264751154438,187,0.9635155535347686,0.2184059507287414,f7048aa7545e1c749a2983955b0db6e78ccbbe7698780e39d34f8644286bc7fc,0.05752056837081909,,,,0.14199674975852672,0.07583880424499512,0.06732684373855591,6.327352799999062
0.395029388568676,0.5471237358948584,0.5446457931250636,teacher::MORAN_R40_z2__P18_B65_S2|GMM_TIED+REFINE_T0.50_S3|1,"[312,326,530,395,98,224,64]",0.5173846569885552,0.9255085613932387,7,MISAR_E15_5_S1,0.10997487604618073,,,,0.2531735897064209,0.1355760246515274,0.11969470232725143,0.2298614674191893,64,0.9153350726054582,0.26088571770228747,b0dbf7eeb82b9437a6e99adeff61528977ddf97a59aac13d68887d99c60ed8fa,0.0612068772315979,,,,0.14092911129767371,0.07946062088012695,0.07140165567398071,6.3330472000234295
0.37922222315810056,0.5486882722738927,0.5462206490512012,teacher::MORAN_R20_z1__P18_B65_S2|GMM_TIED+REFINE_T0.60_S1|1,"[252,213,549,64,290,450,131]",0.5056283613218947,0.9331186887165227,7,MISAR_E15_5_S1,0.12331551313400269,,,,0.2667812407016754,0.15400126576423645,0.12215676158666611,0.2298614674191893,64,0.9141671667893428,0.2796187767417811,bb9acfdd82faf5aa592b5a0d68768346c2ca2892108291570e00f67498dcde50,0.06691533327102661,,,,0.15315903146022747,0.08780086040496826,0.07480049133300781,6.3390675999980886
