Index,lane,ablation,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,min_cluster_size,partition_sha256,delta_ari_vs_full,delta_nmi_vs_full
12,MISAR_E15_5_S1,FULL,0.348855256607842,0.5270065266916829,0.5244134524029441,0.4830405349352224,0.9129801254961616,0.0917249674170342,71,f5a5d7623ba7eeec3beceb1802f66f05846591c5f17b2d0f77c24774b46118f3,0.0,0.0
13,MISAR_E15_5_S1,NO_SELF_RETURN,0.3611415773119519,0.5420959717406597,0.5395867891497799,0.4926910523622371,0.916476906298879,0.0883163014059263,70,9dddcc156ef7de3f4b7e2943fc45ab25be7c060a000b02a7c1ac8bc1083c328e,0.012286320704109899,0.015089445048976802
14,MISAR_E15_5_S1,REGISTERED_SCALE_ONLY,0.348258956974768,0.523123159292146,0.5205125413671244,0.4822550483659589,0.9121007373705792,0.0921385355644119,72,ef60bbc8ba12b18ebf6d934592c657bbb31f8fcb95c16cefa4b241190c610d03,-0.0005962996330740045,-0.0038833673995368745
15,MISAR_E15_5_S1,FIXED_EQUAL_MODALITY_WEIGHTS,0.3489551402629602,0.5266337692121086,0.5240370266460476,0.4831782525572642,0.912514037688084,0.0924770715388612,70,7f4b079b3f660d5162b66733f69e64151e7c0cfddd88a09da49510355b371ae5,9.988365511820474e-05,-0.00037275747957432603
16,MISAR_E15_5_S1_K12,FULL,0.3186160310074261,0.5450540791022462,0.5410810369237642,0.4423369881836719,0.8508560970888293,0.1524967765325759,64,58bc225e561d076cfdbc7a6bc1a64925cf3873a6639f6a60c30c59650c532655,0.0,0.0
17,MISAR_E15_5_S1_K12,NO_SELF_RETURN,0.3245483305970423,0.5557435397838727,0.5518798182581002,0.4478216721415605,0.8752459941757218,0.1277433163423787,67,3253ec6aa0574b96a2a673f0355d1b47a0a532426c81dfd41dac1c7481f4e57a,0.005932299589616219,0.010689460681626461
18,MISAR_E15_5_S1_K12,REGISTERED_SCALE_ONLY,0.3184009898196749,0.5450427750027262,0.5410701521380659,0.4421447072832328,0.8511617697274803,0.1521249129298535,64,b5f57eb767bfa2f13f8868f93a79aa44986142d38495728631d8999086ef6794,-0.00021504118775117487,-1.1304099519993116e-05
19,MISAR_E15_5_S1_K12,FIXED_EQUAL_MODALITY_WEIGHTS,0.3185339566331117,0.5449708714913968,0.5409968367875907,0.4422614137322927,0.8517450512154627,0.1516473046094165,64,ff9e81b3cc80d6d59911681d4cac42b0f9cfff2d9a41e4fef3727425a4005261,-8.207437431440034e-05,-8.320761084945616e-05
20,P22,FULL,0.4417796088743956,0.5755917907885308,0.5748517391206355,0.5265002553734783,0.8564741422753346,0.1460075808382374,159,75370f46fabb37fc8a0e9abeaa4643a54a8e62f3b10bb0a00ee2d011df080fb1,0.0,0.0
21,P22,NO_SELF_RETURN,0.4533481955295849,0.6077970933753754,0.6071072461221233,0.5385633172868071,0.9184852327455952,0.0847416668559631,157,62ef056ad61df0231d38d1501abaf9808ba171a44da91a8685aa7bc6f5a7587a,0.011568586655189284,0.03220530258684451
