all_start_ari_max,all_start_ari_mean,all_start_ari_median,all_start_ari_min,all_start_nmi_max,all_start_nmi_mean,all_start_nmi_median,all_start_nmi_min,arm,authority_ari,authority_nmi,lane,robustness_ari_max,robustness_ari_mean,robustness_ari_median,robustness_ari_min,robustness_nmi_max,robustness_nmi_mean,robustness_nmi_median,robustness_nmi_min,robustness_seed_count
0.5406800193511586,0.3929367798337364,0.36347120719934445,0.36305583085388227,0.6636737906577838,0.5697416313459319,0.5510208754163128,0.5506924957525564,RNA_ONLY_SUPPORT,0.5406800193511586,0.6636737906577838,MISAR_K7,0.36360050288671963,0.363388131930252,0.3633419115119692,0.36305583085388227,0.5512771191081002,0.5509551994835616,0.5507646317245257,0.5506924957525564,5
0.5383196317857889,0.39291771877587206,0.36402915986080175,0.3633241897007129,0.6612012533725864,0.5698394176703753,0.5518461101841887,0.550851840455154,ATAC_ONLY_SUPPORT,0.5383196317857889,0.6612012533725864,MISAR_K7,0.364272569284333,0.3638373361738887,0.3640136880986874,0.3633241897007129,0.5523322961317524,0.551567050529933,0.5518345098502144,0.550851840455154,5
0.40268697411303417,0.22707693860987233,0.19927414627224233,0.05408658077605216,0.4540624215109914,0.3250158695397775,0.3464691613663612,0.1698609672132596,DIRECT_BASE,0.16750951288907545,0.2667558803103532,HUMAN_HIPPOCAMPUS_K7,0.40268697411303417,0.23899042375403168,0.23103877965540923,0.05408658077605216,0.4540624215109914,0.3366678673856624,0.42618244242236925,0.1698609672132596,5
0.5984432096122873,0.5596630205542441,0.5649217081476283,0.5173954052993526,0.5764504186308125,0.5559824432948282,0.561730071980995,0.5159472580726874,BIMODAL_SUPPORT,0.5448772370426253,0.5577946770986344,HUMAN_HIPPOCAMPUS_K7,0.5984432096122873,0.5626201772565679,0.5654545922485111,0.5173954052993526,0.5764504186308125,0.5556199965340669,0.5656654668633557,0.5159472580726874,5
0.5961783620969016,0.46330636595372116,0.5119390555275711,0.2152955837367012,0.5854895180308324,0.5111306147756232,0.5380237461014599,0.4172325557456868,UNIFORM_MASS_MATCHED,0.5124444651278955,0.5462274080711581,HUMAN_HIPPOCAMPUS_K7,0.5961783620969016,0.4534787461188863,0.5114336459272468,0.2152955837367012,0.5854895180308324,0.5041112561165162,0.5298200841317616,0.4172325557456868,5
0.6026051773609798,0.4786630472514952,0.5110295379960121,0.21830026909336586,0.5792644222492686,0.5201159080267068,0.5330387556797157,0.41885451990405836,PERMUTED_SUPPORT,0.5116688518683492,0.5450528459768947,HUMAN_HIPPOCAMPUS_K7,0.6026051773609798,0.47206188632812446,0.510390224123675,0.21830026909336586,0.5792644222492686,0.5151285204366692,0.5210246653825367,0.41885451990405836,5
0.6100534719290149,0.5345977402649879,0.5376976545348819,0.45651984017014136,0.58380457123228,0.5415772858486513,0.5453594330923988,0.49435299032237723,RNA_ONLY_SUPPORT,0.4966339344442906,0.5361287503727978,HUMAN_HIPPOCAMPUS_K7,0.6100534719290149,0.5421905014291274,0.5646589266511058,0.45651984017014136,0.58380457123228,0.542666992943822,0.5545901158119996,0.49435299032237723,5
0.6345914320663634,0.5737907451593028,0.5666991145763394,0.5357904474551011,0.5899949334220079,0.5621619291981741,0.5615237058505119,0.5222561334319229,ATAC_ONLY_SUPPORT,0.537151828352722,0.5533337171679058,HUMAN_HIPPOCAMPUS_K7,0.6345914320663634,0.5811185285206191,0.567758523855675,0.5357904474551011,0.5899949334220079,0.5639275716042278,0.569713694533118,0.5222561334319229,5
0.9141772268245202,0.2843192446667911,0.18731418796973118,-0.05487031909643847,0.8384393166674208,0.2737789860148914,0.15768622075650202,0.02060311793198593,DIRECT_BASE,0.29364293621537724,0.19575653284452937,MELANOMA_TUMOR_K2,0.9141772268245202,0.28245450635707386,0.0809854397240851,-0.05487031909643847,0.8384393166674208,0.2893834766489638,0.11961590866847464,0.02060311793198593,5
0.9188297279678376,0.2999993368425387,0.17254923591311597,-0.004794501153800072,0.8451729029040616,0.2660495713061407,0.14256271602410708,0.0027654341969016883,BIMODAL_SUPPORT,0.2940923271060083,0.1975802176155368,MELANOMA_TUMOR_K2,0.9188297279678376,0.30118073878984475,0.05100614472022365,-0.004794501153800072,0.8451729029040616,0.2797434420442615,0.08754521443267739,0.0027654341969016883,5
0.9188297279678376,0.3009569855204211,0.17789714926274383,-0.004794501153800072,0.8451729029040616,0.2681024423554313,0.14927746266933373,0.0016531672021921746,UNIFORM_MASS_MATCHED,0.3043845033077312,0.2044941268168907,MELANOMA_TUMOR_K2,0.9188297279678376,0.30027148196295905,0.051409795217756474,-0.004794501153800072,0.8451729029040616,0.28082410546313946,0.09406079852177678,0.0016531672021921746,5
0.9188297279678376,0.3009902807363687,0.17531261364397277,-0.0051483549391564505,0.8451729029040616,0.267778151420705,0.14753448444416173,0.0020392512450766475,PERMUTED_SUPPORT,0.2992154320701891,0.2010081703665467,MELANOMA_TUMOR_K2,0.9188297279678376,0.30134525046960464,0.051409795217756474,-0.0051483549391564505,0.8451729029040616,0.2811321476315367,0.09406079852177678,0.0020392512450766475,5
0.9188297279678376,0.30112383562960693,0.17398082685292415,-0.004800636962562837,0.8451729029040616,0.26621141594070175,0.14280831130278268,0.0037906569688871735,RNA_ONLY_SUPPORT,0.2992154320701891,0.2010081703665467,MELANOMA_TUMOR_K2,0.9188297279678376,0.3015055163414905,0.04874622163565925,-0.004800636962562837,0.8451729029040616,0.27925206505553274,0.08460845223901867,0.0037906569688871735,5
0.9188297279678376,0.30116789118429393,0.1779836060475843,-0.005252670332134534,0.8451729029040616,0.26744495465042645,0.1484861747501181,0.0019774942264920376,ATAC_ONLY_SUPPORT,0.30179421378598464,0.20274380440819753,MELANOMA_TUMOR_K2,0.9188297279678376,0.3010426266639558,0.054172998309183915,-0.005252670332134534,0.8451729029040616,0.28038518469887225,0.09422854509203869,0.0019774942264920376,5
