stage,config_id,dataset,unit_id,seed,family,status,transform_status,raw_root,phase,runtime_seconds,cuda_used,cuda_device,peak_gpu_allocated_mib,process_peak_rss_mib,cpu_workers_stage_max,threads_per_worker
R1,A05_RNA_ANCHOR,d1,u010,0,RNA_PROTEIN,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u010/attempt_001,alias,0.0,False,,0.0,0.0,,
R1,A05_RNA_ANCHOR,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u020/attempt_001,training_and_reload,4.187740539200604,True,NVIDIA GeForce RTX 4080,143.3603515625,1461.9375,,
R1,A05_RNA_ANCHOR,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u020/attempt_001,cpu_transform,79.67657042853534,False,,,1165.7890625,3.0,3.0
R1,A06_DGI,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u000/attempt_001,training_and_reload,2.1539158830419183,True,NVIDIA GeForce RTX 4080,86.49365234375,844.83984375,,
R1,A06_DGI,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u000/attempt_001,cpu_transform,4.496144530363381,False,,,600.171875,3.0,3.0
R1,A06_DGI,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u005/attempt_001,training_and_reload,2.463061257265508,True,NVIDIA GeForce RTX 4080,92.85693359375,837.1328125,,
R1,A06_DGI,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u005/attempt_001,cpu_transform,5.173309446312487,False,,,599.69921875,3.0,3.0
R1,A06_DGI,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u010/attempt_001,training_and_reload,2.0662939976900816,True,NVIDIA GeForce RTX 4080,85.70166015625,841.15234375,,
R1,A06_DGI,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u010/attempt_001,cpu_transform,5.268743734806776,False,,,599.3828125,3.0,3.0
R1,A06_DGI,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u020/attempt_001,training_and_reload,2.2333950689062476,True,NVIDIA GeForce RTX 4080,143.3603515625,858.171875,,
R1,A06_DGI,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u020/attempt_001,cpu_transform,75.81403268687427,False,,,1179.26171875,3.0,3.0
R1,A07_SMART_TRIPLET,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u000/attempt_001,training_and_reload,5.3552170023322105,True,NVIDIA GeForce RTX 4080,88.275390625,837.0625,,
R1,A07_SMART_TRIPLET,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u000/attempt_001,cpu_transform,5.8166135950013995,False,,,606.234375,3.0,3.0
R1,A07_SMART_TRIPLET,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u005/attempt_001,training_and_reload,6.965859884396195,True,NVIDIA GeForce RTX 4080,95.068359375,834.609375,,
R1,A07_SMART_TRIPLET,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u005/attempt_001,cpu_transform,4.723894204944372,False,,,600.3046875,3.0,3.0
R1,A07_SMART_TRIPLET,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u010/attempt_001,training_and_reload,5.025853400118649,True,NVIDIA GeForce RTX 4080,87.419921875,827.16796875,,
R1,A07_SMART_TRIPLET,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u010/attempt_001,cpu_transform,4.723403437063098,False,,,600.38671875,3.0,3.0
R1,A07_SMART_TRIPLET,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u020/attempt_001,training_and_reload,39.128563690930605,True,NVIDIA GeForce RTX 4080,143.3603515625,850.328125,,
R1,A07_SMART_TRIPLET,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u020/attempt_001,cpu_transform,92.24739003740251,False,,,1193.96875,3.0,3.0
R2,B00_FAMILY_REFERENCE,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u000/attempt_001,training_and_reload,2.0401069819927216,True,NVIDIA GeForce RTX 4080,83.03662109375,769.2734375,,
R2,B00_FAMILY_REFERENCE,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u000/attempt_001,cpu_transform,4.666692086495459,False,,,603.13671875,3.0,3.0
R2,B00_FAMILY_REFERENCE,a1,u001,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u001/attempt_001,training_and_reload,1.8768653171136975,True,NVIDIA GeForce RTX 4080,83.03662109375,768.609375,,
R2,B00_FAMILY_REFERENCE,a1,u001,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u001/attempt_001,cpu_transform,4.69645977485925,False,,,601.92578125,3.0,3.0
R2,B00_FAMILY_REFERENCE,a1,u002,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u002/attempt_001,training_and_reload,1.9855613093823195,True,NVIDIA GeForce RTX 4080,83.03662109375,769.9765625,,
R2,B00_FAMILY_REFERENCE,a1,u002,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u002/attempt_001,cpu_transform,5.196480935439467,False,,,604.3046875,3.0,3.0
R2,B00_FAMILY_REFERENCE,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u005/attempt_001,training_and_reload,1.9969276478514075,True,NVIDIA GeForce RTX 4080,88.56591796875,770.93359375,,
