stage,config_id,dataset,unit_id,seed,family,status,transform_status,raw_root,training_manifest_sha256,transform_manifest_sha256,model_file_sha256,model_tensor_state_sha256,alias_target_config_id
R1,A05_RNA_ANCHOR,a1,u000,0,RNA_PROTEIN,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u000/attempt_001,81f9ecd0a7a59097b351edc5546dac23703eae8b72367041e4aae5143ff2209b,2bc118778a05b98d5063986683e0ea2e5ad66f50e06c894d58e6b824141b8c63,,,A00_FAMILY_REFERENCE
R1,A05_RNA_ANCHOR,tonsil,u005,0,RNA_PROTEIN,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u005/attempt_001,7625d93bdfc8f89ebdad31d15c681db7262d0c1a1a8a95d8ce5b63a56dde159d,12f27dd72a72756e749417a7ebc75f4ff67a75cca2127b2bba8abf30b1bd00a2,,,A00_FAMILY_REFERENCE
R1,A05_RNA_ANCHOR,d1,u010,0,RNA_PROTEIN,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,CONTENT_ADDRESSED_NOOP_ALIAS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u010/attempt_001,8b9f00eeb24839b3fbf19e9f8fc6e79d6edc578cf31f1292540aab9806694bcc,7c590fbebdd10ef6a100b35ad2f1a5d99d902c3c786cac4650893da3f58edbb5,,,A00_FAMILY_REFERENCE
R1,A05_RNA_ANCHOR,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A05_RNA_ANCHOR/u020/attempt_001,633baad5a8661d61aa1d57eb401f6a652d4953de1c1660b41e26bcb5ff815072,64ef46a152c9080aa01fc39ea9b10726bad76b4ef75c8172672d77421dd3e12c,ccc8370aafc3ac44eedaf75697ca9729f88b5d891950278b4e63b378360599aa,90a13b8737fd2d594d7ce9264932fa3a328da5eba4df2800d9446b38cee9b817,
R1,A06_DGI,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u000/attempt_001,7542905a4324bbeee0942d42016162f72676bb72619e1e9e2d0d734da06c24b2,35d7665a4ea41ed0d55ead4b61fbe7bce7f874df24fa984a2415ca2567e22f39,46276148418d0fe57c23e37bb1b6f62b80443305a09bcaa481d4b63b9957af66,b966e0030f87671bf835b831e01e2d5d6eacdfddbe388ff9cefaa740af6520cb,
R1,A06_DGI,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u005/attempt_001,b8a7285dad8ba111b6fbd4040886c680918ab5c384e125ce4d97c8c0dc7017c2,5150e1c922ea8a7da77525893b85a5b0200f0685fa7a6db5f45b2b074fd7b13a,0b884b00fff85724d612d14a7db46673e6325cf0f899397658d86770bfe25dc9,7ae633cdbc800854407d0ec4bb8a039fa3a751e6c72baa582fce22718433dd37,
R1,A06_DGI,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u010/attempt_001,ab7d90623bc7655cc23bcfa0ae350e0e3938bb5e0f3d5fcc71b158695171c73e,f5273157d588288222a81190ff506ec53bf7d21e8778a464ce6d815c2cc6f5da,ec372df7606ebe13b4388ed538c6a9ca2a3406ea225d7accbc7e137d0e771a32,341804cfd1134b72fce9dc676dfb334143eeb8a726a201e97d17662c3ecd3b18,
R1,A06_DGI,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A06_DGI/u020/attempt_001,80cbffb58a89bf6c6dec439e0b9f0ef5d5c0771cb084f70b23cd7b47c03671e6,7a551483264a3de6ca61b280ed09f89705c42d9dd313d029aeb11c87b391c787,a594be5b3aedbde4d530c6ef6de273f523a4828930dc82cbb744b959ff7f8291,5580c827c281868e6a450f32652568227a9f802b43801ab01b8bccc3ae54f979,
R1,A07_SMART_TRIPLET,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u000/attempt_001,b92f1556779b53ac5af1316c7174618f380024f0a92f58bf8eb5b5c3edef4bfe,6862326afc03468f98b7144df43ccb586eb8fa7b95f7f828bdd995ba6c9aaae1,601ec91bfd9f9211799da8c547d79d7d5b92263e941304cd8a3828e77e31450f,174db10425859f13a9ead295bec5e63c3d8c8a72a68888adaf6994463b6da9eb,
R1,A07_SMART_TRIPLET,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u005/attempt_001,11437d5e9f65afd314bd4e1501181b0a6465fbc4ed0cc62bf648916da5a452af,83fba12115b274e580685410a714de5acdaf2b1c70ced047b49aee2b9f387fd6,7bc1aa51ea144d0cbd6b3197048d8ffaf0bae1e9472f949dafa151d5f304c795,46b4a890f47e02dfdb2fcf9574ef2d8db5c4efae4828288dcf7d7c4ee6154a18,
R1,A07_SMART_TRIPLET,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u010/attempt_001,d053a8adc554e26ba97cb1e67f0e2b49fb12923ca5c3f0caf5c764139583da60,fa72c7a4dec61a5abd5ac697fc89f3f15d883f0b3c8d094e9f660f7912f0aadb,19fc27a56d6192a3229221795638576af07bbeb7185fcdb0a1d681e306508e44,54eeb553975d8ac8e0436a11919fe76e509f95fe5a239e33a4185a124d70be97,
R1,A07_SMART_TRIPLET,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R1/A07_SMART_TRIPLET/u020/attempt_001,49a36d2785cd7fb74a4fb04dc7d964879ff16936557b3935b884d41a16e6f9f9,a3ae43b2fcd9c2d786ab5a879a121ec03a780b228127617f187028e7088bd502,e2ee949436c4c87118b6862d46491d92d89901530e1db918778eba5da48bfd7b,914fdd327bccc01d0b09d2a5697543f59f0baef3b13dea39516fae37b003a88d,
R2,B00_FAMILY_REFERENCE,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u000/attempt_001,21385b171a44796247fd27ff2ea2f897fc2326c875efd86134969c0077492ebc,59bac20d5161368a3b64daf10256bb7a3d5ee573093a0ee48695719cadf3ffc6,f62a9d3c886ce77c0a9fde28abff88116c2ac63d2debbb532ff64378b47c7057,e69781f889a1395baae62a8cd5f7536fef2647f39978b825b591de54226466a0,
R2,B00_FAMILY_REFERENCE,a1,u001,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u001/attempt_001,aadfdbc71b3bb6730f2fa88b77798758d48d8124a1104315d603449bb077a38f,68ed134c6e55db75509af07115928a2078b01fc0bf4f3637ef8e1aa69137b0ce,6d9cd1d3e532a9b6506caef274ee7a79db67720214189240cbfde484e475cdbe,4f241af975ee3534c2cad22ea585ad335cf94ff2479cc503e20305da81c8d6f2,
R2,B00_FAMILY_REFERENCE,a1,u002,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u002/attempt_001,88989225ad9cefc4cfdcf74240af528e2df3ba1736052c04c92bb6297796d2b4,c9b531350543f83182ea88e28347c59d1c92a18479925dd7037b74811bb59714,c5708cd1046bf9c5003d3fe420dd893097d85409f5b9bba5476fcfcae3a6ed8a,a2bf6a9df644cebf44aa7e7031fc049d9b2dcfbd1b53a4f5ce3fbc893386a374,
R2,B00_FAMILY_REFERENCE,tonsil,u005,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u005/attempt_001,810ca53c756a688ca881c423902d28cb3858fbde550f2833337d7372e92444e2,000a778cc262da63f66d6eb2e4e96586097ff248bfdaa4e003c4abd9e5e6812a,933553272928c1a41c3336fd9e3ba47cc088bb6ef3494ab4c652ef951d6b4d41,51bb2a1f53da10a79170575f86800e243f7fa15ac36b70ee57dfc470fcd778fd,
R2,B00_FAMILY_REFERENCE,tonsil,u006,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u006/attempt_001,79c24df6ffb00cea7b6cc6cb40f2e5661daa38b5078c1c4c2790081a3218ef6d,46f3f9cf4b5ec2ca1d1b6c37fd9b9d6f3e0198ad355f62f970fa8aafa42eb364,0b8e53b659223a5b89483e3f2e6b96c621c94972515613568e38ab1236bad405,b72f24292a2e2a7f4d4bcb878629a17ef9623e664d6bdbee32c6b484e17935e8,
R2,B00_FAMILY_REFERENCE,tonsil,u007,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u007/attempt_001,e1c07328f3c87a08a7d106d92fb8e0ec6e6832c3dfa3a4d26a99d5940d829bd9,febe7ce74964acad0042bed060c396d6fcadb1dca4a780630a535940c6df8b8b,2a8eebdfc2e5026e60db536a20c2bfc9e5626a10a9f617b9203641534fd40403,160b58d1757887fdd6e7272b2c1bb1de824a4cb2a86c7c50aaf3434e336d9fc9,
R2,B00_FAMILY_REFERENCE,d1,u010,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u010/attempt_001,d3f0335ef5bce5e3df7b51ad070ad1644795e0792f782464a77d3dbcd95a50d8,5dffeb6731b3fdfa9ec91d217a36263d633894eebfe283b75ff877add133d7e0,f05dbad9df59f9329e4bc879a07a51f829acb78cae4738edc2b3e6f97377c0bc,d0d7ca82f045c31ce2b9652f6972add7955c466ecef0da88dcc9a999c01288da,
R2,B00_FAMILY_REFERENCE,d1,u011,1,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u011/attempt_001,c39f66dd992d40d1daa452e5db1832a6c644ca1a5026adceb7c527ff325e2eb1,78b2f7a9e3292868c620cf3e17b02ff3f53e51fbb260a24d8d3099c46f8ca46f,9fe138349af9e569b9c265a53bf41e2c0c1bcefdfc1de7e967c94357368d4215,1017de8dbffb62c2fc135901ce4177f180f2065570eeff2f65db51a2103f9c70,
R2,B00_FAMILY_REFERENCE,d1,u012,2,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u012/attempt_001,bdd82bf03cb68e3932d7cb0f0b3f1c42f4a6f803db7d50213b7564bc1fbee452,013ec04e0c8dd2aaa999224cb8fd0f9ada916fb84d64ee0b878cc015fe912a58,c7863fece42724a11abcff70b1ba5a49603e3fe44ce85dfe7aded01be1143185,d26f13b1172b048b2a341b992cd3bddca6c90839604da74857a5047dd387128e,
R2,B00_FAMILY_REFERENCE,p22,u020,0,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u020/attempt_001,31b5e26d57fd17df5535ac89eb64b14ad12bb852bafd9a2b11b1c589e3a9757d,6e0d8e8bc415b36e7bb34c08371fcf22fb0fadcd8b1a8f8e8fdbe3cfb0cac730,301e190abc09db79fc7a22bf113bda6a702780b106512a58de8e7a1f30c6957e,af3e9f444270ee723d2764c17b479c6ced2ad7208377501d065e65ca27d06fe4,
R2,B00_FAMILY_REFERENCE,p22,u021,1,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u021/attempt_001,7ad81ec0b336050b74021462b65ce2f2482aca4a65934fecbfbc032df2ec0cd2,7b357d15b85f2729f5b5774db5ac3314218b91b52b10fc673ebe41428e4ac93d,4a0a701b3a11321bd0240e375fb8cccc1f0345327b8a8bfc837dd2f658b1d33d,6c94b4dbfbff8379812c0052e03cb4ba27abe66b4547d63f94ac9e0e305855f6,
R2,B00_FAMILY_REFERENCE,p22,u022,2,RNA_EPIGENOME,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B00_FAMILY_REFERENCE/u022/attempt_001,d67614d26bca5b801bbc9c756d1e88468080072e1c824e5bd9efbbac4907c1f1,829843812d7389edc7497d6ea86912e68758ce259ec30f0ff2b68c17d4e20933,6ec8033b1d055be968998f3d54a1e3d38d58b0c7f029408896ef8d49666064e5,6c9e1aa8689785fc7f63e8cfb2e3beffe04911d61c8e5728da41d8071b7bdaed,
R2,B01_SP_RR10,a1,u000,0,RNA_PROTEIN,SUCCESS_PRE_LABEL,SUCCESS_PRE_LABEL,/root/autodl-fs/night8a_raw_runs_20260820/R2/B01_SP_RR10/u000/attempt_001,02509d109ca4b2ed2904b13d794b18de22df6ca1ba6a114db977638b2da074dd,b4ef736ae9176d7c53332928111cd70aa84e8c3e4ede83c619f8e8785246a1a9,7743e373156ae1f0f9afc679d174563e58b01afbc73836d0b493691014cee862,a78c82e6a3021aaa6e545bd85e6760ad135b58393c7228e4eaf6535dfab4b437,
