dataset,variant,metric,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n
placenta,locked_unweighted,embedding_silhouette,0.04104007184505463,0.003629557751938982,0.041473958641290665,0.03518678620457649,0.04505966231226921,0.03780806213617325,0.04362538084387779,5
placenta,locked_unweighted,embedding_davies_bouldin,3.1954931639209683,0.17598870972859237,3.2265139241026604,2.9107268228963954,3.3519094554369424,3.0440992171716057,3.3155182364580043,5
placenta,locked_uniform_legacy_scale,ari,0.6611319517852648,0.035428334410931954,0.6558135150515498,0.622338607208952,0.715648267534057,0.6357750381517242,0.6917143665410542,5
placenta,locked_uniform_legacy_scale,nmi,0.7235911043328016,0.02002039322337007,0.7263021531066333,0.7014341094539046,0.7495531549831859,0.7082420913803735,0.7389401172852297,5
placenta,locked_uniform_legacy_scale,ami,0.7199417973432438,0.02027595148147844,0.7227004178201186,0.6974861822690723,0.7462023659081327,0.7043921194633522,0.7354914752231354,5
placenta,locked_uniform_legacy_scale,fmi,0.7212091323248686,0.029616312368072047,0.7175383811064915,0.6882955866155152,0.7663625433941442,0.6997471820709477,0.746587356138125,5
placenta,locked_uniform_legacy_scale,homogeneity,0.7647569606858153,0.020453948610011284,0.7705759661340678,0.7400241602730128,0.7836875513725372,0.7487057229928924,0.7808081983787383,5
placenta,locked_uniform_legacy_scale,v_measure,0.7235911043328016,0.0200203932233701,0.7263021531066332,0.7014341094539046,0.749553154983186,0.7082420913803735,0.7389401172852297,5
placenta,locked_uniform_legacy_scale,hungarian_macro_f1,0.613050270838024,0.021559858342894936,0.6205611025125066,0.5890318726183398,0.6349364063062151,0.5962140574755287,0.6298864842005194,5
placenta,locked_uniform_legacy_scale,hungarian_weighted_f1,0.7939702130631694,0.02632733745000194,0.795472821950908,0.7619814621116011,0.8252231175271278,0.7734736273043202,0.8144667988220187,5
placenta,locked_uniform_legacy_scale,hungarian_balanced_accuracy,0.6512162545649375,0.025675731107062016,0.6551030434775169,0.6243202816335491,0.675882319670548,0.6307502868398664,0.6716822222900085,5
placenta,locked_uniform_legacy_scale,spatial_neighbor_agreement,0.42972322503008425,0.0060826724217088405,0.4296028880866426,0.4223826714801444,0.43922984356197353,0.4252707581227437,0.4350180505415163,5
placenta,locked_uniform_legacy_scale,spatial_cluster_moran_mean,0.38423162260324606,0.023647034476796946,0.37650119346152067,0.35741876488316715,0.4132827247570202,0.36613645241533355,0.4027607208371166,5
placenta,locked_uniform_legacy_scale,embedding_silhouette,0.1554233282804489,0.014370895028295763,0.15279343724250793,0.14452984929084778,0.1801356077194214,0.14664945900440216,0.16801291406154634,5
placenta,locked_uniform_legacy_scale,embedding_davies_bouldin,2.252376653215381,0.12601409397092567,2.1732308120117523,2.153115415425116,2.402828949848449,2.158275394253743,2.348238987667387,5
placenta,locked_legacy_shape_normalized,ari,0.4930536428636495,0.015644589955070037,0.498635729221665,0.4680201138635619,0.5097973016836811,0.4802663600068032,0.5036249507526016,5
placenta,locked_legacy_shape_normalized,nmi,0.583760031480418,0.025270439389061993,0.5949991830029285,0.5387857994619875,0.5984824854844369,0.5612240122839348,0.5964938355557453,5
placenta,locked_legacy_shape_normalized,ami,0.5782500889635162,0.02558437863986999,0.5896204880566881,0.5327171767888177,0.593170897121332,0.555439736829261,0.5911387069367596,5
placenta,locked_legacy_shape_normalized,fmi,0.5787597635861034,0.013421435137562152,0.583403681800382,0.5573357269386796,0.5932257588380597,0.5677629088833606,0.5878506673836318,5
