dataset,variant,seed,domain,support,hungarian_f1
a1,locked_legacy_shape_normalized,0,trabeculae,8,0.0
a1,locked_legacy_shape_normalized,1,capsule,204,0.33599999999999997
a1,locked_legacy_shape_normalized,1,cortex,753,0.5662431941923775
a1,locked_legacy_shape_normalized,1,follicle,60,0.4419475655430711
a1,locked_legacy_shape_normalized,1,hilum,23,0.04301075268817204
a1,locked_legacy_shape_normalized,1,medulla cords,1188,0.4765625
a1,locked_legacy_shape_normalized,1,medulla sinuses,797,0.5342465753424658
a1,locked_legacy_shape_normalized,1,medulla vessels,57,0.03587443946188341
a1,locked_legacy_shape_normalized,1,pericapsular adipose tissue,320,0.6058091286307054
a1,locked_legacy_shape_normalized,1,subcapsular sinus,74,0.06912442396313365
a1,locked_legacy_shape_normalized,1,trabeculae,8,0.0
a1,locked_legacy_shape_normalized,2,capsule,204,0.37234042553191493
a1,locked_legacy_shape_normalized,2,cortex,753,0.7146136189747514
a1,locked_legacy_shape_normalized,2,follicle,60,0.40559440559440557
a1,locked_legacy_shape_normalized,2,hilum,23,0.003642987249544626
a1,locked_legacy_shape_normalized,2,medulla cords,1188,0.5166402535657686
a1,locked_legacy_shape_normalized,2,medulla sinuses,797,0.42066957787481807
a1,locked_legacy_shape_normalized,2,medulla vessels,57,0.06349206349206349
a1,locked_legacy_shape_normalized,2,pericapsular adipose tissue,320,0.7736185383244206
a1,locked_legacy_shape_normalized,2,subcapsular sinus,74,0.24761904761904766
a1,locked_legacy_shape_normalized,2,trabeculae,8,0.0
a1,locked_legacy_shape_normalized,3,capsule,204,0.35672514619883045
a1,locked_legacy_shape_normalized,3,cortex,753,0.5335786568537259
a1,locked_legacy_shape_normalized,3,follicle,60,0.4935064935064935
a1,locked_legacy_shape_normalized,3,hilum,23,0.09836065573770492
a1,locked_legacy_shape_normalized,3,medulla cords,1188,0.5331278890600925
a1,locked_legacy_shape_normalized,3,medulla sinuses,797,0.6006600660066006
a1,locked_legacy_shape_normalized,3,medulla vessels,57,0.024096385542168672
a1,locked_legacy_shape_normalized,3,pericapsular adipose tissue,320,0.6511627906976745
a1,locked_legacy_shape_normalized,3,subcapsular sinus,74,0.24203821656050953
a1,locked_legacy_shape_normalized,3,trabeculae,8,0.04804804804804804
a1,locked_legacy_shape_normalized,4,capsule,204,0.32375979112271536
a1,locked_legacy_shape_normalized,4,cortex,753,0.664571877454831
a1,locked_legacy_shape_normalized,4,follicle,60,0.41877256317689526
a1,locked_legacy_shape_normalized,4,hilum,23,0.0
