dataset,variant,seed,cross_omics_rna,modality2_spatial,rna_spatial
placenta,locked_legacy_loss_replay,3,0.7140927910804749,0.49971556663513184,0.4245845377445221
placenta,locked_legacy_loss_replay,4,0.712329089641571,0.4977850317955017,0.443360835313797
placenta,locked_legacy_shape_normalized,0,0.5709627866744995,0.49957481026649475,0.4538521468639374
placenta,locked_legacy_shape_normalized,1,0.5548883080482483,0.4978216886520386,0.4469246566295624
placenta,locked_legacy_shape_normalized,2,0.5684472918510437,0.4986165463924408,0.4481966495513916
placenta,locked_legacy_shape_normalized,3,0.5792048573493958,0.49973294138908386,0.4437500536441803
placenta,locked_legacy_shape_normalized,4,0.589434802532196,0.49782872200012207,0.4553510248661041
placenta,locked_uniform_legacy_scale,0,0.6859254837036133,0.49949705600738525,0.4348992109298706
placenta,locked_uniform_legacy_scale,1,0.6597562432289124,0.4976341128349304,0.4247792363166809
placenta,locked_uniform_legacy_scale,2,0.6746654510498047,0.4983772933483124,0.4341277778148651
placenta,locked_uniform_legacy_scale,3,0.7112976908683777,0.49971693754196167,0.4244992136955261
placenta,locked_uniform_legacy_scale,4,0.7109023928642273,0.4978049397468567,0.43645548820495605
placenta,locked_unweighted,0,0.5674911141395569,0.4995644688606262,0.455652117729187
placenta,locked_unweighted,1,0.5510497689247131,0.4978214502334595,0.44892674684524536
placenta,locked_unweighted,2,0.563412606716156,0.4986039698123932,0.44988828897476196
placenta,locked_unweighted,3,0.5724004507064819,0.49972838163375854,0.44558873772621155
placenta,locked_unweighted,4,0.5845434069633484,0.49783244729042053,0.45478594303131104
