dataset,checkpoint,family,metric,within_count,cross_count,within_q95,within_median,cross_q95,cross_median,eta,E95,Emed,margin,q95_ratio,median_ratio,finite,pass
p22,1,parameters,scaled_max,16,32,4.647299647331238e-07,2.2910535335540771e-07,4.0596351027488706e-07,2.076849341392517e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.1064208984375,0.054443359375,True,True
p22,5,adam,relative_l2,16,32,1.3905241785398108e-07,1.3057440539699884e-07,1.3722453388101484e-07,1.3031897215440052e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.03597258820970475,0.03416233663644317,True,True
p22,5,adam,scaled_max,16,32,1.5133991837501526e-09,9.313225746154785e-10,1.3969838619232178e-09,9.313225746154785e-10,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0003662109375,0.000244140625,True,True
p22,5,gradients,relative_l2,16,32,2.2293728086850488e-07,2.0599080227017067e-07,2.1957479168511793e-07,2.0945178207112974e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.057560214191503555,0.054906527959254235,True,True
p22,5,gradients,scaled_max,16,32,4.6566128730773926e-09,3.725290298461914e-09,5.587935447692871e-09,3.725290298461914e-09,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.00146484375,0.0009765625,True,True
p22,5,losses,relative_l2,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
p22,5,losses,scaled_max,16,32,0.0,0.0,0.0,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0,0.0,True,True
p22,5,outputs,relative_l2,16,32,1.3888521760775226e-07,1.2605706006361398e-07,1.3829331580011916e-07,1.2626256498488619e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.03625276297710644,0.033098973835398005,True,True
p22,5,outputs,scaled_max,16,32,9.358038563296542e-07,4.4742063680708105e-07,6.094358439633952e-07,3.18961977411298e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.15975994987994027,0.0836139686065073,True,True
p22,5,parameters,relative_l2,16,32,3.7638933159610196e-08,2.124651294823039e-08,3.564197123258538e-08,2.1054137307959675e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.009343328906794861,0.005519215770457781,True,True
p22,5,parameters,scaled_max,16,32,4.651956260204315e-07,2.2910535335540771e-07,4.0596351027488706e-07,2.076849341392517e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.1064208984375,0.054443359375,True,True
p22,20,adam,relative_l2,16,32,1.4244300760058686e-07,1.249290875012611e-07,1.491695726171812e-07,1.260250230401399e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.03910390844415835,0.033036703639834436,True,True
p22,20,adam,scaled_max,16,32,3.725290298461914e-09,2.7939677238464355e-09,3.2130628824234002e-09,2.7939677238464355e-09,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.0008422851562499998,0.000732421875,True,True
p22,20,gradients,relative_l2,16,32,5.25106654542582e-07,4.84064853795003e-07,5.554284056229913e-07,4.7320044622390904e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.14560222396363343,0.12404665777492041,True,True
p22,20,gradients,scaled_max,16,32,6.752088665962219e-09,5.122274160385132e-09,6.51925802230835e-09,5.005858838558197e-09,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.001708984375,0.001312255859375,True,True
p22,20,losses,relative_l2,16,32,1.0509175876733251e-07,0.0,1.0509175876733251e-07,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.027549174010303615,0.0,True,True
p22,20,losses,scaled_max,16,32,7.450580596923828e-09,0.0,7.450580596923828e-09,0.0,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.001953125,0.0,True,True
p22,20,outputs,relative_l2,16,32,2.2174268053133086e-07,1.8201586390137245e-07,2.119699405413823e-07,1.908022875560088e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.05556664809328012,0.050017674869082374,True,True
p22,20,outputs,scaled_max,16,32,7.815828795993186e-07,4.0445550432272046e-07,5.487477382973127e-07,3.160228474057852e-07,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.14385092710821074,0.08284349331034216,True,True
p22,20,parameters,relative_l2,16,32,4.112961827894217e-08,2.6935223109470384e-08,3.844184045561313e-08,2.7061883737526192e-08,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,2.0,0.010077297824396248,0.007094110450490066,True,True
