dataset,variant,variant_code,seed,run_status,ari,nmi,ami,fmi,homogeneity,v_measure,hungarian_macro_f1,hungarian_weighted_f1,hungarian_balanced_accuracy,spatial_neighbor_agreement,spatial_cluster_moran_mean,embedding_silhouette,embedding_davies_bouldin,total_seconds,gpu_peak_allocated_mib
a1,locked_uniform_legacy_scale,V1,3,complete,0.22447833278814125,0.36150392233988715,0.3573137997599566,0.37576158608563837,0.39902227365475884,0.36150392233988715,0.33701810371718244,0.48651938306038944,0.39995197194565624,0.6385380788365863,0.5673577426615555,0.07381269335746765,1.9548057798910072,15.39582291431725,355.41259765625
a1,locked_uniform_legacy_scale,V1,4,complete,0.19863540651236164,0.3450337227285565,0.34091631336824685,0.34084976684615065,0.3983953898065053,0.34503372272855654,0.2906538769334651,0.44396823479795977,0.34001000974558987,0.589281158311009,0.5405238947938934,0.1172771081328392,2.0311167988392795,16.317480558995157,355.4130859375
a1,locked_unweighted,V0,0,complete,0.23326465692362888,0.3667075295326137,0.36268940873495853,0.3734780341191228,0.41942657967556446,0.36670752953261365,0.31626428563093567,0.493332964590643,0.40522585515563564,0.5574531190202832,0.5029030420987736,0.12585505843162537,1.9883239630536036,18.585633361246437,355.41162109375
a1,locked_unweighted,V0,1,complete,0.2248026987879877,0.36137866841212807,0.35722568167127716,0.3727098527254049,0.4027325927403462,0.361378668412128,0.34271499144186224,0.5132438498184853,0.408238560976877,0.5956595228983289,0.5251029871994469,0.1227155327796936,1.9742382292348406,18.72439759923145,355.41162109375
a1,locked_unweighted,V0,2,complete,0.25700391240036313,0.3759525563668314,0.371953500604231,0.39606672754675293,0.4256353743207322,0.37595255636683145,0.3522439981420758,0.5330263694366827,0.3882919833381925,0.6328294425309351,0.5822527203482489,0.12489772588014603,1.982824385511271,15.474884720984846,355.4140625
a1,locked_unweighted,V0,3,complete,0.26495833398395324,0.3823409575610802,0.3782466111426877,0.4126029852127234,0.41766115734987225,0.3823409575610801,0.3583090726118845,0.5296933129012834,0.48851010644847737,0.630214313050134,0.5543947246991108,0.09032796323299408,1.9977361157112203,16.49052532715723,355.41259765625
a1,locked_unweighted,V0,4,complete,0.1867775164312471,0.34060590077653197,0.3364649249020625,0.33002351596165697,0.39369531729522145,0.34060590077653197,0.28233885490881044,0.4379483536442865,0.3143484494461181,0.6184143385635923,0.5647361489594367,0.12290113419294357,1.9351116483651332,14.68667417485267,355.4130859375
p22,locked_asr_hvg_legacy_scale_diagnostic,V4,0,complete,0.42278820182625393,0.5461959413103629,0.5453965771975043,0.51511732915331,0.5440627726125795,0.5461959413103629,0.5228628284503594,0.5929886227213897,0.5572280605965644,0.8026043932144411,0.7462064364796177,0.14664226770401,2.6326525450116036,74.67916377075016,701.6708984375
p22,locked_asr_hvg_legacy_scale_diagnostic,V4,1,complete,0.39417012749875413,0.5346056232077957,0.5337960564318345,0.48669602559724856,0.5389828840196655,0.5346056232077957,0.528033045940753,0.5743025220101123,0.5723209131404698,0.821756742061766,0.7841728637187038,0.13847030699253082,2.5974756820860265,74.6724575618282,701.66845703125
p22,locked_asr_hvg_legacy_scale_diagnostic,V4,2,complete,0.44315232391319703,0.5752773114810461,0.5745320780126122,0.5307496587043437,0.5751849680636835,0.575277311481046,0.5294011041711233,0.5977369626717807,0.5658958841542691,0.8316591452805567,0.7918507794289604,0.1295817345380783,2.4364649605084607,74.35385156003758,701.66064453125
