dataset,metric,contrast,mean,sample_sd,median,minimum,maximum,bootstrap_95_low,bootstrap_95_high,n,exact_32_sign_flip_two_sided_p
a1,ami,interaction,-0.0002971140032038688,0.008690665043936866,-0.0008364798077693525,-0.010947373814179928,0.009636829006926195,-0.007081089254386663,0.006486861247978926,5,0.875
a1,ami,asr_vs_uniform_same_scale,-0.0017753167920023683,0.005315048585654345,-0.00018719388775106927,-0.010125784759541678,0.00374903844204888,-0.006150348410825434,0.0018696688170249387,5,0.6875
a1,ami,asr_vs_legacy_same_scale,-0.0013175458184414568,0.004652685685968954,-0.003932184552885798,-0.005717611212810003,0.005361935520851957,-0.004654931587111633,0.002757187543038486,5,0.5625
a1,fmi,uniform_scale_effect,-0.004502981736434963,0.01946693872084004,0.0019811499728313864,-0.03684139912708506,0.010826250884493682,-0.02144693237436991,0.008349052333433037,5,0.875
a1,fmi,legacy_shape_effect,-0.000581712482413399,0.0037266950582879647,0.00016825411016441194,-0.0067661416960142495,0.0033692173024196803,-0.003992383373542785,0.0020855519557244407,5,1.0
a1,fmi,scale_at_legacy_shape,-0.006945292234868949,0.028121206553047114,-0.011395324739649326,-0.0423593449765966,0.030620173942091766,-0.02773400006599608,0.016053711285216942,5,0.5625
a1,fmi,legacy_shape_at_full_scale,-0.003024022980847385,0.020059743788594372,-0.005349691739347129,-0.030238688946905068,0.023163140360017764,-0.018682188283743538,0.01335890930041016,5,0.75
a1,fmi,factorial_scale_main,-0.005724136985651956,0.0223273067748029,-0.006079215255689552,-0.03960037205184083,0.020723212413292724,-0.024493085237908923,0.01170106544117121,5,0.625
a1,fmi,factorial_shape_main,-0.001802867731630392,0.011034828303914744,-0.0025907188145913584,-0.015103668728542297,0.013266178831218722,-0.010037789805653147,0.007042481309483828,5,0.75
a1,fmi,interaction,-0.002442310498433986,0.01858745305456143,-0.003858609364561283,-0.030270040436725543,0.019793923057598084,-0.01740552211474151,0.012300988684862613,5,0.75
a1,fmi,asr_vs_uniform_same_scale,-0.007668809681828115,0.01657067120386297,5.344758978431674e-05,-0.03650653756101768,0.004392475196227985,-0.022296219885387013,0.0017958909188379834,5,0.5
a1,fmi,asr_vs_legacy_same_scale,-0.00464478670098073,0.011463041062560672,-0.0035374012863450544,-0.023109692770233448,0.005420220045321944,-0.014265227560869486,0.003168923409045976,5,0.5
a1,homogeneity,uniform_scale_effect,0.0031452791037059223,0.013291140818828564,0.004700072511283848,-0.018638883695113406,0.017412034241609142,-0.008732695724918037,0.012327249549479025,5,0.625
a1,homogeneity,legacy_shape_effect,0.0013147444398673325,0.0052622551721507645,0.0003104977789376573,-0.004589047971941873,0.009873065564864614,-0.002557587417669871,0.006048038450493831,5,0.5625
a1,homogeneity,scale_at_legacy_shape,-0.002005542539069027,0.011406500048291628,0.0049801919023964025,-0.01878780029472088,0.006956774554451928,-0.011908055948327046,0.006100631089033737,5,0.75
a1,homogeneity,legacy_shape_at_full_scale,-0.003836077202907617,0.007665646803233257,-0.003082459646662261,-0.01652055475115133,0.0037454604702368277,-0.010576899268083062,0.001014292423477192,5,0.5
a1,homogeneity,factorial_scale_main,0.0005698682823184475,0.010812272051492969,0.0052523898641090305,-0.018713341994917143,0.006574043216065445,-0.009127049251306673,0.005891675994906248,5,1.0
a1,homogeneity,factorial_shape_main,-0.0012606663815201424,0.002598197127060606,-0.0014886083329932187,-0.004036730619116691,0.002309712158518634,-0.003241911751502663,0.0007682862723092931,5,0.375
a1,homogeneity,interaction,-0.0051508216427749495,0.012079090511012469,-0.00014891659960747372,-0.026393620316015942,0.002871496623436387,-0.015899413390389906,0.001560669211713206,5,0.5625
a1,homogeneity,asr_vs_uniform_same_scale,-5.147401729611589e-05,0.007127435875479713,-0.0004316009370877172,-0.007792249129437712,0.011462822633204972,-0.005095384477992326,0.006178425049290959,5,0.9375
a1,homogeneity,asr_vs_legacy_same_scale,0.0037846031856115015,0.008387141420748574,0.003285545323493455,-0.0047097894827754505,0.013223080040789259,-0.0028976312913413073,0.01046683766256431,5,0.4375
a1,v_measure,uniform_scale_effect,0.0003268644513337082,0.011953710666076919,0.004427821952024569,-0.020837035221192957,0.007317904867477576,-0.010357095001043903,0.006718906705955841,5,1.0
a1,v_measure,legacy_shape_effect,-0.0001739616042777836,0.002331913400205042,0.00019947721435892296,-0.004082169188702522,0.0021708974301827277,-0.002280904208667123,0.0013823293438532057,5,1.0
a1,v_measure,scale_at_legacy_shape,7.77733924304025e-05,0.01405995598126123,0.0009323120843762189,-0.02167681563955115,0.014100000071385788,-0.011599415294542458,0.010011078193632283,5,1.0
a1,v_measure,legacy_shape_at_full_scale,-0.00042305266318108935,0.0070941840950932596,-0.0006403032039992707,-0.008575176361860504,0.00767870311841512,-0.006025529505191851,0.005179424178829673,5,0.8125
a1,v_measure,factorial_scale_main,0.00020231892188205536,0.012313703423242988,0.00409888150288798,-0.021256925430372053,0.009263911011705178,-0.010973009753185398,0.007339492112060942,5,1.0
a1,v_measure,factorial_shape_main,-0.0002985071337294365,0.0030369632191564106,-0.00022041299482017385,-0.003202139465838888,0.00417802330164152,-0.0025257089375426813,0.002057212679058984,5,0.9375
a1,v_measure,interaction,-0.00024909105890330574,0.008639326002890767,-0.0008397804183581936,-0.010746073792043231,0.009672178119361219,-0.00699964113529834,0.006501459017491729,5,0.875
a1,v_measure,asr_vs_uniform_same_scale,-0.0017833340195034463,0.0052930224538441425,-0.0001861906161974014,-0.010095245830328503,0.0037678598673139274,-0.006131623744676062,0.0018346459969186047,5,0.6875
a1,v_measure,asr_vs_legacy_same_scale,-0.0013602813563223571,0.004607220990762667,-0.003910843251101193,-0.005776199546856098,0.005260232410473964,-0.004663348481446283,0.0026812201674586865,5,0.5625
a1,hungarian_macro_f1,uniform_scale_effect,-0.005417647658621116,0.013909599800897041,0.00112583513507164,-0.021290968894702056,0.008315022024654672,-0.016078885456263292,0.00524359013902106,5,0.5
a1,hungarian_macro_f1,legacy_shape_effect,-0.005792043497586885,0.014600843929745274,-0.0001786377906996539,-0.03183313345968136,0.0024036745221097666,-0.01897030422774145,0.0015717805613332247,5,0.8125
a1,hungarian_macro_f1,scale_at_legacy_shape,0.004799729365677496,0.018373139973040995,0.013565498818242816,-0.020376222033060776,0.024259919626156035,-0.010915843136426583,0.01825484079332603,5,0.625
a1,hungarian_macro_f1,legacy_shape_at_full_scale,0.004425333526711728,0.010763755288828029,0.0012015276720534485,-0.009591723985462153,0.01834857212361113,-0.003321376026606049,0.01344280163883792,5,0.3125
a1,hungarian_macro_f1,factorial_scale_main,-0.00030895914647181,0.01421376670594136,-0.0029518317476245892,-0.020833595463881416,0.016287470825405354,-0.011309525147580528,0.010963114625991532,5,1.0
a1,hungarian_macro_f1,factorial_shape_main,-0.0006833549854375787,0.010051272561977789,0.00027873564012098617,-0.015315802893813957,0.010376123322860448,-0.008940647935559449,0.006706390119599115,5,1.0
a1,hungarian_macro_f1,interaction,0.010217377024298613,0.01593655616174446,0.010363397192675483,-0.009170817666059872,0.03303466113173481,-0.0013571317225657298,0.023192725571669414,5,0.1875
a1,hungarian_macro_f1,asr_vs_uniform_same_scale,0.00126228659604668,0.011734846611968587,0.00018920750003759146,-0.013017656652913212,0.019689164168865403,-0.0077349109917328905,0.011703642094167965,5,0.8125
a1,hungarian_macro_f1,asr_vs_legacy_same_scale,-0.0031630469306650477,0.013908455122732992,-0.0034259326674510593,-0.018159364623573537,0.018953055097923777,-0.013532217266189006,0.008735234566709382,5,0.625
a1,hungarian_weighted_f1,uniform_scale_effect,-0.008053948841932168,0.021842293921622565,0.0033986297733169524,-0.043173929840893965,0.008983703056804515,-0.027207222963687792,0.006681159638854494,5,0.5625
a1,hungarian_weighted_f1,legacy_shape_effect,-0.0028424360368228597,0.010414858894891544,0.0001786290718995831,-0.020878474214684306,0.006183189289924951,-0.01245563290005075,0.003770808707704065,5,0.9375
a1,hungarian_weighted_f1,scale_at_legacy_shape,-0.008303674749442057,0.03351340390130788,-0.021627587321699226,-0.04488880086221486,0.03735341051066404,-0.033156810364649326,0.019940967091606376,5,0.625
a1,hungarian_weighted_f1,legacy_shape_at_full_scale,-0.0030921619443327495,0.029559635327987607,-0.0013989567849906348,-0.032569877250681556,0.03751671864691575,-0.02555683383570616,0.01937250994704066,5,0.9375
a1,hungarian_weighted_f1,factorial_scale_main,-0.008178811795687113,0.02575478696471353,-0.006321942132447356,-0.04403136535155441,0.021686645832168644,-0.028864298676253137,0.011056802923961096,5,0.625
a1,hungarian_weighted_f1,factorial_shape_main,-0.002967298990577805,0.018823195596244045,-0.0005415212743301867,-0.02672417573268293,0.02184995396842035,-0.017918655822469008,0.01122582199819296,5,0.8125
a1,hungarian_weighted_f1,interaction,-0.0002497259075098901,0.023392987907285053,-0.0017148710213208962,-0.03061129037850374,0.0313335293569908,-0.018417973726045367,0.018748918115251357,5,0.9375
a1,hungarian_weighted_f1,asr_vs_uniform_same_scale,-0.007509566489244268,0.025131405465881152,0.0005236797713468744,-0.046870018075502784,0.021009961468171245,-0.02791253893676292,0.010163685758855411,5,0.75
a1,hungarian_weighted_f1,asr_vs_legacy_same_scale,-0.0044174045449115185,0.025113070086828657,-0.011090354841834349,-0.036720744952089324,0.02240891825316188,-0.0234052846009683,0.014570475511145264,5,0.75
a1,hungarian_balanced_accuracy,uniform_scale_effect,-0.01029031462429909,0.04522949792070706,0.0019144460266650176,-0.08855813450282113,0.025661560299471753,-0.051228769690654895,0.017303047190720833,5,0.875
a1,hungarian_balanced_accuracy,legacy_shape_effect,-0.01352865911804968,0.027623643910928263,-4.8627040658943965e-05,-0.062408231706301,0.00274553370674685,-0.038508786817405105,0.0011416089245005812,5,0.4375
a1,hungarian_balanced_accuracy,scale_at_legacy_shape,0.004686908973460147,0.056679638408300384,0.002266744402336429,-0.08420400436664482,0.06489933308157148,-0.042427908269979366,0.04703409419895042,5,0.875
a1,hungarian_balanced_accuracy,legacy_shape_at_full_scale,0.0014485644797095575,0.0185031951917035,-0.00214465806324049,-0.017515478450603472,0.031173000107230342,-0.011363295309329802,0.01784593683904201,5,0.875
a1,hungarian_balanced_accuracy,factorial_scale_main,-0.002801702825419472,0.04967222293283818,0.00801799798363434,-0.08638106943473298,0.045280446690521614,-0.04801381953414385,0.0309830901410089,5,1.0
a1,hungarian_balanced_accuracy,factorial_shape_main,-0.006040047319170061,0.01977124812883938,-0.001096642551949717,-0.039961855078452235,0.01155411371618048,-0.024116283583397107,0.006493811208928402,5,0.6875
a1,hungarian_balanced_accuracy,interaction,0.014977223597759238,0.025441282596432697,0.004354130136176304,-0.01150250716259582,0.044892753255697526,-0.004568589246835686,0.03452303644235416,5,0.375
a1,hungarian_balanced_accuracy,asr_vs_uniform_same_scale,0.03803843939588444,0.046768939581658994,0.010174469224156935,0.00012705473809609957,0.09951513747662144,0.0033364178722276815,0.07578418959408241,5,0.0625
a1,hungarian_balanced_accuracy,asr_vs_legacy_same_scale,0.03658987491617488,0.05627292381574965,0.018931442680005905,-0.031045945369134242,0.09502820521561106,-0.006523524254198465,0.07970327408654823,5,0.3125
a1,spatial_neighbor_agreement,uniform_scale_effect,-0.011209975762214585,0.0147732437034786,-0.014686184462303853,-0.02913318025258327,0.00832376578645233,-0.02223816813369055,0.0008834034953437708,5,0.1875
a1,spatial_neighbor_agreement,legacy_shape_effect,-0.004946421737466555,0.008107358364091252,-0.0015786452353616642,-0.019182931496364408,0.0005899987243270788,-0.01214121699196331,-0.00042416124505679776,5,0.125
a1,spatial_neighbor_agreement,scale_at_legacy_shape,-0.009870519198877358,0.026096406119227172,-0.009742951907130926,-0.046418548284219985,0.02407832631713236,-0.03130501339456564,0.01092294935578524,5,0.5
a1,spatial_neighbor_agreement,legacy_shape_at_full_scale,-0.0036069651741293283,0.023200340576015277,-0.00703214695752008,-0.031142365097589053,0.023934813113917652,-0.02165773695624442,0.014443806607985766,5,0.75
a1,spatial_neighbor_agreement,factorial_scale_main,-0.010540247480545972,0.017907933924504127,-0.019270634009439958,-0.03055236637326192,0.011321597142492701,-0.023850299783135596,0.003952991452991483,5,0.25
a1,spatial_neighbor_agreement,factorial_shape_main,-0.004276693455797942,0.013154887219465342,-0.003946613088404161,-0.019334417655313185,0.011178083939277994,-0.014633562954458501,0.006080176042862618,5,0.5
a1,spatial_neighbor_agreement,interaction,0.0013394565633372268,0.02271047982642357,-0.0003029723178975541,-0.03173236382191613,0.025513458349279317,-0.016395586171705556,0.01795190713101169,5,1.0
a1,spatial_neighbor_agreement,asr_vs_uniform_same_scale,-0.0069524174001785784,0.02356063055814044,-0.00015945911468295826,-0.037759918356933264,0.014813751754050308,-0.02520729684908791,0.011302462048730755,5,0.5625
a1,spatial_neighbor_agreement,asr_vs_legacy_same_scale,-0.00334545222604925,0.024798802932135166,-0.010412680188799595,-0.030727771399413184,0.03429965556831227,-0.020713738997321096,0.017298124760811318,5,0.75
a1,spatial_cluster_moran_mean,uniform_scale_effect,-0.009420240685963388,0.015210288334826072,-0.007578967524684899,-0.02421225416554329,0.0129630179624447,-0.02040743324552179,0.00212321083706013,5,0.3125
a1,spatial_cluster_moran_mean,legacy_shape_effect,-0.0008862788777659781,0.002388099760204839,-0.000969137095504724,-0.004590036855161683,0.001719033454743002,-0.002872272891678307,0.0009131692942645042,5,0.5625
a1,spatial_cluster_moran_mean,scale_at_legacy_shape,-0.011377806878692309,0.023293341439290516,-0.007834962319659855,-0.036275033125755474,0.010997665658443956,-0.029939321170431722,0.007183707413047103,5,0.4375
a1,spatial_cluster_moran_mean,legacy_shape_at_full_scale,-0.002843845070494899,0.017234453403666715,-0.003155965692122842,-0.026977032146327573,0.015166101454613723,-0.016036685081524105,0.010150149439709622,5,0.75
a1,spatial_cluster_moran_mean,factorial_scale_main,-0.010399023782327849,0.017174232030517482,-0.016023608242601572,-0.028836316913206317,0.011980341810444328,-0.023510048543890917,0.0033650979730114605,5,0.25
