dataset,metric,contrast,seed,paired_delta
a1,homogeneity,factorial_scale_main,1,0.004215224083601171
a1,homogeneity,factorial_shape_main,1,-0.0033237445931433574
a1,homogeneity,interaction,1,-0.026393620316015942
a1,homogeneity,asr_vs_uniform_same_scale,1,-0.0032974747103620694
a1,homogeneity,asr_vs_legacy_same_scale,1,0.013223080040789259
a1,homogeneity,uniform_scale_effect,2,0.008167894529734487
a1,homogeneity,legacy_shape_effect,2,0.00010524298067582372
a1,homogeneity,scale_at_legacy_shape,2,0.0049801919023964025
a1,homogeneity,legacy_shape_at_full_scale,2,-0.003082459646662261
a1,homogeneity,factorial_scale_main,2,0.006574043216065445
a1,homogeneity,factorial_shape_main,2,-0.0014886083329932187
a1,homogeneity,interaction,2,-0.003187702627338085
a1,homogeneity,asr_vs_uniform_same_scale,2,-0.007792249129437712
a1,homogeneity,asr_vs_legacy_same_scale,2,-0.0047097894827754505
a1,homogeneity,uniform_scale_effect,3,-0.018638883695113406
a1,homogeneity,legacy_shape_effect,3,0.0003104977789376573
a1,homogeneity,scale_at_legacy_shape,3,-0.01878780029472088
a1,homogeneity,legacy_shape_at_full_scale,3,0.00016158117933018357
a1,homogeneity,factorial_scale_main,3,-0.018713341994917143
a1,homogeneity,factorial_shape_main,3,0.00023603947913392043
a1,homogeneity,interaction,3,-0.00014891659960747372
a1,homogeneity,asr_vs_uniform_same_scale,3,0.011462822633204972
a1,homogeneity,asr_vs_legacy_same_scale,3,0.011301241453874789
a1,homogeneity,uniform_scale_effect,4,0.004700072511283848
a1,homogeneity,legacy_shape_effect,4,-0.004589047971941873
a1,homogeneity,scale_at_legacy_shape,4,0.005804707216934213
a1,homogeneity,legacy_shape_at_full_scale,4,-0.0034844132662915084
a1,homogeneity,factorial_scale_main,4,0.0052523898641090305
a1,homogeneity,factorial_shape_main,4,-0.004036730619116691
a1,homogeneity,interaction,4,0.0011046347056503647
a1,homogeneity,asr_vs_uniform_same_scale,4,-0.0001988679427980533
a1,homogeneity,asr_vs_legacy_same_scale,4,0.003285545323493455
a1,v_measure,uniform_scale_effect,0,0.003460179736959612
a1,v_measure,legacy_shape_effect,0,0.0006773434848679205
a1,v_measure,scale_at_legacy_shape,0,0.010461539370506812
a1,v_measure,legacy_shape_at_full_scale,0,0.00767870311841512
a1,v_measure,factorial_scale_main,0,0.006960859553733212
a1,v_measure,factorial_shape_main,0,0.00417802330164152
a1,v_measure,interaction,0,0.0070013596335471995
a1,v_measure,asr_vs_uniform_same_scale,0,0.0037678598673139274
a1,v_measure,asr_vs_legacy_same_scale,0,-0.003910843251101193
a1,v_measure,uniform_scale_effect,1,0.007317904867477576
a1,v_measure,legacy_shape_effect,1,0.0021708974301827277
a1,v_measure,scale_at_legacy_shape,1,-0.0034281689245656555
a1,v_measure,legacy_shape_at_full_scale,1,-0.008575176361860504
a1,v_measure,factorial_scale_main,1,0.0019448679714559602
a1,v_measure,factorial_shape_main,1,-0.003202139465838888
a1,v_measure,interaction,1,-0.010746073792043231
a1,v_measure,asr_vs_uniform_same_scale,1,-0.0033149439513865397
a1,v_measure,asr_vs_legacy_same_scale,1,0.005260232410473964
a1,v_measure,uniform_scale_effect,2,0.007265450921399741
a1,v_measure,legacy_shape_effect,2,0.00016464303790403312
a1,v_measure,scale_at_legacy_shape,2,0.0009323120843762189
a1,v_measure,legacy_shape_at_full_scale,2,-0.006168495799119489
a1,v_measure,factorial_scale_main,2,0.00409888150288798
a1,v_measure,factorial_shape_main,2,-0.003001926380607728
a1,v_measure,interaction,2,-0.006333138837023522
a1,v_measure,asr_vs_uniform_same_scale,2,-0.010095245830328503
a1,v_measure,asr_vs_legacy_same_scale,2,-0.003926750031209014
a1,v_measure,uniform_scale_effect,3,-0.020837035221192957
a1,v_measure,legacy_shape_effect,3,0.00019947721435892296
a1,v_measure,scale_at_legacy_shape,3,-0.02167681563955115
a1,v_measure,legacy_shape_at_full_scale,3,-0.0006403032039992707
a1,v_measure,factorial_scale_main,3,-0.021256925430372053
a1,v_measure,factorial_shape_main,3,-0.00022041299482017385
a1,v_measure,interaction,3,-0.0008397804183581936
a1,v_measure,asr_vs_uniform_same_scale,3,0.0009118504330812849
a1,v_measure,asr_vs_legacy_same_scale,3,0.0015521536370805555
a1,v_measure,uniform_scale_effect,4,0.004427821952024569
a1,v_measure,legacy_shape_effect,4,-0.004082169188702522
a1,v_measure,scale_at_legacy_shape,4,0.014100000071385788
a1,v_measure,legacy_shape_at_full_scale,4,0.005590008930658696
a1,v_measure,factorial_scale_main,4,0.009263911011705178
a1,v_measure,factorial_shape_main,4,0.000753919870978087
