candidate,dataset,seed,ari_recomputed,nmi_recomputed,q_recomputed,max_abs_error
Q00_REFERENCE_ALIAS,p22,1,0.48984404531808956,0.6402295428470587,0.5650367940825741,3.3306690738754696e-16
Q06_COORDINATE_PRIOR_RESIDUAL,p22,1,0.47480431362426745,0.6329275326114839,0.5538659231178757,2.220446049250313e-16
Q00_REFERENCE_ALIAS,p22,2,0.5070851708762828,0.6539310561570039,0.5805081135166433,6.661338147750939e-16
Q06_COORDINATE_PRIOR_RESIDUAL,p22,2,0.5004339788562455,0.6478382722348124,0.574136125545529,0.0
Q00_REFERENCE_ALIAS,p22,3,0.5124474733811558,0.6555795971322154,0.5840135352566855,0.0
Q06_COORDINATE_PRIOR_RESIDUAL,p22,3,0.4987382478103213,0.6475018880218031,0.5731200679160622,1.1102230246251565e-16
Q00_REFERENCE_ALIAS,p22,4,0.5005795060084282,0.6550797772764642,0.5778296416424462,2.220446049250313e-16
Q06_COORDINATE_PRIOR_RESIDUAL,p22,4,0.4900906099089935,0.6472521450753853,0.5686713774921894,0.0
Q00_REFERENCE_ALIAS,p22,5,0.500475275120484,0.6475645186143586,0.5740198968674213,2.220446049250313e-16
Q06_COORDINATE_PRIOR_RESIDUAL,p22,5,0.48986726596626934,0.6421610622102958,0.5660141640882825,1.1102230246251565e-16
Q00_REFERENCE_ALIAS,p22,6,0.5093356406008596,0.6536954274104078,0.5815155340056337,0.0
Q06_COORDINATE_PRIOR_RESIDUAL,p22,6,0.4954827703588007,0.6459685372870793,0.5707256538229399,1.1102230246251565e-16
Q00_REFERENCE_ALIAS,p22,7,0.49434169328877225,0.6434622941021867,0.5689019936954794,1.1102230246251565e-16
Q06_COORDINATE_PRIOR_RESIDUAL,p22,7,0.4887198845019732,0.6401832747145587,0.564451579608266,3.3306690738754696e-16
Q00_REFERENCE_ALIAS,p22,8,0.502305711755329,0.647448162710316,0.5748769372328225,2.220446049250313e-16
Q06_COORDINATE_PRIOR_RESIDUAL,p22,8,0.4960214633077043,0.6413799818834737,0.568700722595589,1.1102230246251565e-16
Q00_REFERENCE_ALIAS,p22,9,0.5144418426408643,0.6573989535393046,0.5859203980900844,2.220446049250313e-16
Q06_COORDINATE_PRIOR_RESIDUAL,p22,9,0.4982417339113016,0.646869755331571,0.5725557446214363,1.1102230246251565e-16
