stage,candidate,dataset,family,seed,success,ari,nmi,q,neighbor_agreement,moran_i,geary_c,boundary_disagreement,ami,mi,fmi,homogeneity,completeness,v_measure,silhouette,davies_bouldin,calinski_harabasz,foscttm_mean,recall_at_1,recall_at_5,recall_at_10,paired_median_rank,training_runtime_seconds,peak_gpu_mib
r2,Q06_COORDINATE_PRIOR_RESIDUAL,p22,RNA+ATAC,2,True,0.5004339788562455,0.6478382722348124,0.574136125545529,0.9012534359538208,0.8626568881233214,0.13785220605102716,0.09874656404617921,0.6472245461332335,1.3037004135569674,0.5761183523940725,0.652561750802635,0.6431826827622673,0.6478382722348123,0.1533779039433282,2.0802760997074015,906.1386334076215,0.06808031295257813,0.02223792953458025,0.06894301870378425,0.10395824271422358,234.5,18.373931884765625,175.380859375
r2,Q00_REFERENCE_ALIAS,p22,RNA+ATAC,3,True,0.5124474733811558,0.6555795971322154,0.5840135352566855,0.9047828477185267,0.860145823028383,0.14088298298429683,0.09521715228147332,0.6549719309087808,1.3080418199156245,0.5873512218830915,0.6547348234694,0.6564265535550884,0.6555795971322155,0.1969152773709985,1.549032322709655,1672.4711973096692,0.09559731859680345,0.02136798608090474,0.06540887342322749,0.0995541539799913,284.25,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,p22,RNA+ATAC,3,True,0.4987382478103213,0.647501888021803,0.5731200679160622,0.9073336998350742,0.866794477233485,0.13456840459050673,0.09266630016492583,0.6468818134718551,1.29444789751739,0.575444999493416,0.6479304428707439,0.6470738997085598,0.647501888021803,0.141271827362302,2.0985028998641133,829.0622541346814,0.08109557054974136,0.022672901261418008,0.06986733362331449,0.10537190082644628,246.5,18.47827124595642,175.3798828125
r2,Q00_REFERENCE_ALIAS,p22,RNA+ATAC,4,True,0.5005795060084282,0.6550797772764644,0.5778296416424462,0.9105332600329852,0.8699011316537787,0.132130195794297,0.08946673996701482,0.6544722385178796,1.309850495749514,0.5768646539154196,0.6556401485398871,0.6545203630862027,0.6550797772764643,0.2295770937568447,1.8421654670168195,1699.8821395716789,0.09895106532594142,0.020878642888212267,0.06758373205741627,0.10292518486298391,286.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,p22,RNA+ATAC,4,True,0.4900906099089935,0.6472521450753853,0.5686713774921894,0.9108191313908741,0.8720967654244743,0.13047655850289808,0.08918086860912589,0.6466331062928758,1.2969945396184517,0.5677445568422353,0.6492051538479402,0.6453108515618402,0.6472521450753853,0.14688762763835356,2.3178487628806668,824.2594737993201,0.08410820507107496,0.021966072205306657,0.07209656372335799,0.10928664636798609,251.0,18.72096037864685,175.3759765625
r2,Q00_REFERENCE_ALIAS,p22,RNA+ATAC,5,True,0.5004752751204841,0.6475645186143584,0.5740198968674213,0.905475536008796,0.8656970503783579,0.1355351475269267,0.09452446399120396,0.6469422731877531,1.2919553415277125,0.5771415845811785,0.6466828044687895,0.6484486403738077,0.6475645186143585,0.21870941370114055,1.570651230965374,1688.7272450687185,0.09956033914076173,0.022836015658982165,0.06916050456720313,0.10450195737277077,282.5,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,p22,RNA+ATAC,5,True,0.48986726596626934,0.6421610622102957,0.5660141640882825,0.9086421110500275,0.8696849571572661,0.13185394675699602,0.09135788894997254,0.6415305090162792,1.2827131898260473,0.567975355670514,0.6420566843625856,0.6422654740005123,0.6421610622102959,0.14080257104562988,2.107707896076507,814.4309951260963,0.08337934359715232,0.02441278816876903,0.07361896476729013,0.11124401913875598,245.0,18.522425889968872,175.37890625
r2,Q00_REFERENCE_ALIAS,p22,RNA+ATAC,6,True,0.5093356406008596,0.6536954274104078,0.5815155340056337,0.905937328202309,0.8609219973079097,0.13970974397673214,0.09406267179769101,0.653084840970446,1.304940978395927,0.5846092902804886,0.6531827103075007,0.6542089500623068,0.6536954274104076,0.21489845413654057,1.664051417760234,1796.8974104007848,0.09415432531958833,0.024032187907785992,0.07236842105263158,0.10809047411918225,269.0,,
r2,Q06_COORDINATE_PRIOR_RESIDUAL,p22,RNA+ATAC,6,True,0.49548277035880073,0.6459685372870794,0.57072565382294,0.9072457394172623,0.8668465787810301,0.13481383068830421,0.09275426058273772,0.6453455823519111,1.290889886144143,0.5727881890095037,0.6461494952642558,0.645787680638223,0.6459685372870795,0.1401643701529671,2.16944008225407,838.6720839230959,0.08014024704218044,0.025935189212701174,0.07785993910395825,0.11456067855589387,238.0,18.5694260597229,175.37890625
r2,Q00_REFERENCE_ALIAS,p22,RNA+ATAC,7,True,0.4943416932887723,0.6434622941021867,0.5689019936954796,0.9036943375481034,0.8611738172088527,0.13973431744426446,0.09630566245189665,0.6428340984782492,1.2858332285520215,0.5714701136851675,0.6436184066052277,0.6433062573123429,0.6434622941021867,0.20466429356683233,1.5670902588730016,1561.2932837576502,0.10720842643596845,0.022727272727272728,0.07030230535015224,0.10450195737277077,300.0,,
