dataset,method,metric,value,status
p22,R02__E1_ADAPTER_C06_MEAN__H01,runtime_seconds,,MISSING_SOURCE_ARTIFACT
p22,R02__E1_ADAPTER_C06_MEAN__H01,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,ari,0.2610004888850962,REUSED_AUTHORITY
a1,R08__E1_ADAPTER_C06_MEAN__H01,nmi,0.3974837059257065,REUSED_AUTHORITY
a1,R08__E1_ADAPTER_C06_MEAN__H01,q,0.3292420974054014,REUSED_AUTHORITY
a1,R08__E1_ADAPTER_C06_MEAN__H01,ami,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,fmi,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,homogeneity,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,completeness,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,v_measure,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,neighbor_agreement,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,moran_i,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,geary_c,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,boundary_disagreement,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,runtime_seconds,,MISSING_SOURCE_ARTIFACT
a1,R08__E1_ADAPTER_C06_MEAN__H01,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,ari,0.2517436510625657,REUSED_AUTHORITY
d1,R08__E1_ADAPTER_C06_MEAN__H01,nmi,0.3831757671931955,REUSED_AUTHORITY
d1,R08__E1_ADAPTER_C06_MEAN__H01,q,0.3174597091278807,REUSED_AUTHORITY
d1,R08__E1_ADAPTER_C06_MEAN__H01,ami,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,fmi,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,homogeneity,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,completeness,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,v_measure,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,neighbor_agreement,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,moran_i,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,geary_c,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,boundary_disagreement,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,runtime_seconds,,MISSING_SOURCE_ARTIFACT
d1,R08__E1_ADAPTER_C06_MEAN__H01,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,ari,0.1511785302871448,REUSED_AUTHORITY
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,nmi,0.2664074338807707,REUSED_AUTHORITY
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,q,0.2087929820839578,REUSED_AUTHORITY
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,ami,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,fmi,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,homogeneity,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,completeness,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,v_measure,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,neighbor_agreement,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,moran_i,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,geary_c,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,boundary_disagreement,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,runtime_seconds,,MISSING_SOURCE_ARTIFACT
tonsil,R08__E1_ADAPTER_C06_MEAN__H01,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,ari,0.475322524710045,REUSED_AUTHORITY
p22,R08__E1_ADAPTER_C06_MEAN__H01,nmi,0.6368493596291895,REUSED_AUTHORITY
p22,R08__E1_ADAPTER_C06_MEAN__H01,q,0.5560859421696172,REUSED_AUTHORITY
p22,R08__E1_ADAPTER_C06_MEAN__H01,ami,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,fmi,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,completeness,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,v_measure,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,neighbor_agreement,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,moran_i,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,geary_c,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,boundary_disagreement,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,runtime_seconds,,MISSING_SOURCE_ARTIFACT
p22,R08__E1_ADAPTER_C06_MEAN__H01,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
a1,FAMILY_REFERENCE_C00_OR_F00,ari,0.269205452457022,REUSED_AUTHORITY
a1,FAMILY_REFERENCE_C00_OR_F00,nmi,0.4086738847402008,REUSED_AUTHORITY
a1,FAMILY_REFERENCE_C00_OR_F00,q,0.3389396685986114,REUSED_AUTHORITY
a1,FAMILY_REFERENCE_C00_OR_F00,ami,,MISSING_SOURCE_ARTIFACT
a1,FAMILY_REFERENCE_C00_OR_F00,fmi,,MISSING_SOURCE_ARTIFACT
a1,FAMILY_REFERENCE_C00_OR_F00,homogeneity,,MISSING_SOURCE_ARTIFACT
a1,FAMILY_REFERENCE_C00_OR_F00,completeness,,MISSING_SOURCE_ARTIFACT
a1,FAMILY_REFERENCE_C00_OR_F00,v_measure,,MISSING_SOURCE_ARTIFACT
a1,FAMILY_REFERENCE_C00_OR_F00,neighbor_agreement,0.6280959260329384,REUSED_AUTHORITY
a1,FAMILY_REFERENCE_C00_OR_F00,moran_i,0.5606016347119973,REUSED_AUTHORITY
a1,FAMILY_REFERENCE_C00_OR_F00,geary_c,0.4526393583479313,REUSED_AUTHORITY
a1,FAMILY_REFERENCE_C00_OR_F00,boundary_disagreement,0.3719040739670615,REUSED_AUTHORITY
a1,FAMILY_REFERENCE_C00_OR_F00,runtime_seconds,,MISSING_SOURCE_ARTIFACT
a1,FAMILY_REFERENCE_C00_OR_F00,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,FAMILY_REFERENCE_C00_OR_F00,ari,0.4677401507231004,REUSED_AUTHORITY
p22,FAMILY_REFERENCE_C00_OR_F00,nmi,0.633372656967973,REUSED_AUTHORITY
p22,FAMILY_REFERENCE_C00_OR_F00,q,0.5505564038455366,REUSED_AUTHORITY
p22,FAMILY_REFERENCE_C00_OR_F00,ami,,MISSING_SOURCE_ARTIFACT
p22,FAMILY_REFERENCE_C00_OR_F00,fmi,,MISSING_SOURCE_ARTIFACT
p22,FAMILY_REFERENCE_C00_OR_F00,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,FAMILY_REFERENCE_C00_OR_F00,completeness,,MISSING_SOURCE_ARTIFACT
p22,FAMILY_REFERENCE_C00_OR_F00,v_measure,,MISSING_SOURCE_ARTIFACT
p22,FAMILY_REFERENCE_C00_OR_F00,neighbor_agreement,0.8949246838922484,REUSED_AUTHORITY
p22,FAMILY_REFERENCE_C00_OR_F00,moran_i,0.8710391629777975,REUSED_AUTHORITY
p22,FAMILY_REFERENCE_C00_OR_F00,geary_c,0.1314531085624452,REUSED_AUTHORITY
p22,FAMILY_REFERENCE_C00_OR_F00,boundary_disagreement,0.1050753161077515,REUSED_AUTHORITY
p22,FAMILY_REFERENCE_C00_OR_F00,runtime_seconds,,MISSING_SOURCE_ARTIFACT
p22,FAMILY_REFERENCE_C00_OR_F00,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
a1,N02_HIER_ONLY,ari,0.2632899777556566,REUSED_AUTHORITY
a1,N02_HIER_ONLY,nmi,0.4027442463791775,REUSED_AUTHORITY
a1,N02_HIER_ONLY,q,0.3330171120674171,REUSED_AUTHORITY
a1,N02_HIER_ONLY,ami,,MISSING_SOURCE_ARTIFACT
a1,N02_HIER_ONLY,fmi,,MISSING_SOURCE_ARTIFACT
a1,N02_HIER_ONLY,homogeneity,,MISSING_SOURCE_ARTIFACT
a1,N02_HIER_ONLY,completeness,,MISSING_SOURCE_ARTIFACT
a1,N02_HIER_ONLY,v_measure,,MISSING_SOURCE_ARTIFACT
a1,N02_HIER_ONLY,neighbor_agreement,0.6805605316382548,REUSED_AUTHORITY
a1,N02_HIER_ONLY,moran_i,0.6175826049693158,REUSED_AUTHORITY
a1,N02_HIER_ONLY,geary_c,0.3959237056744956,REUSED_AUTHORITY
a1,N02_HIER_ONLY,boundary_disagreement,0.3194394683617451,REUSED_AUTHORITY
a1,N02_HIER_ONLY,runtime_seconds,7.40804323554039,REUSED_AUTHORITY
a1,N02_HIER_ONLY,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,N02_HIER_ONLY,ari,0.5062567125453918,REUSED_AUTHORITY
p22,N02_HIER_ONLY,nmi,0.6561870097737948,REUSED_AUTHORITY
p22,N02_HIER_ONLY,q,0.5812218611595934,REUSED_AUTHORITY
p22,N02_HIER_ONLY,ami,,MISSING_SOURCE_ARTIFACT
p22,N02_HIER_ONLY,fmi,,MISSING_SOURCE_ARTIFACT
p22,N02_HIER_ONLY,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,N02_HIER_ONLY,completeness,,MISSING_SOURCE_ARTIFACT
p22,N02_HIER_ONLY,v_measure,,MISSING_SOURCE_ARTIFACT
p22,N02_HIER_ONLY,neighbor_agreement,0.9084354040681694,REUSED_AUTHORITY
p22,N02_HIER_ONLY,moran_i,0.8704926174880774,REUSED_AUTHORITY
p22,N02_HIER_ONLY,geary_c,0.1322878611800256,REUSED_AUTHORITY
p22,N02_HIER_ONLY,boundary_disagreement,0.0915645959318306,REUSED_AUTHORITY
p22,N02_HIER_ONLY,runtime_seconds,17.26560652665794,REUSED_AUTHORITY
p22,N02_HIER_ONLY,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_COMMON_HEAD,ari,0.4499667138133725,REUSED_AUTHORITY
p22,COSMOS_COMMON_HEAD,nmi,0.6220084969261934,REUSED_AUTHORITY
p22,COSMOS_COMMON_HEAD,q,0.535987605369783,REUSED_AUTHORITY
p22,COSMOS_COMMON_HEAD,ami,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_COMMON_HEAD,fmi,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_COMMON_HEAD,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_COMMON_HEAD,completeness,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_COMMON_HEAD,v_measure,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_COMMON_HEAD,neighbor_agreement,0.9290357339197362,REUSED_AUTHORITY
p22,COSMOS_COMMON_HEAD,moran_i,0.9202976701952152,REUSED_AUTHORITY
p22,COSMOS_COMMON_HEAD,geary_c,0.0829940492045493,REUSED_AUTHORITY
p22,COSMOS_COMMON_HEAD,boundary_disagreement,0.0709642660802638,REUSED_AUTHORITY
p22,COSMOS_COMMON_HEAD,runtime_seconds,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_COMMON_HEAD,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_NATIVE_FIXED,ari,0.2757089113323127,REUSED_AUTHORITY
p22,COSMOS_NATIVE_FIXED,nmi,0.520058902076625,REUSED_AUTHORITY
p22,COSMOS_NATIVE_FIXED,q,0.3978839067044689,REUSED_AUTHORITY
p22,COSMOS_NATIVE_FIXED,ami,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_NATIVE_FIXED,fmi,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_NATIVE_FIXED,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_NATIVE_FIXED,completeness,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_NATIVE_FIXED,v_measure,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_NATIVE_FIXED,neighbor_agreement,0.8802023089609676,REUSED_AUTHORITY
p22,COSMOS_NATIVE_FIXED,moran_i,0.8475136852764862,REUSED_AUTHORITY
p22,COSMOS_NATIVE_FIXED,geary_c,0.1545872744731729,REUSED_AUTHORITY
p22,COSMOS_NATIVE_FIXED,boundary_disagreement,0.1197976910390324,REUSED_AUTHORITY
p22,COSMOS_NATIVE_FIXED,runtime_seconds,,MISSING_SOURCE_ARTIFACT
p22,COSMOS_NATIVE_FIXED,peak_gpu_mib,,MISSING_SOURCE_ARTIFACT
p22,F00_R02_REFERENCE,ari,0.4677401507231004,REUSED_AUTHORITY
p22,F00_R02_REFERENCE,nmi,0.633372656967973,REUSED_AUTHORITY
p22,F00_R02_REFERENCE,q,0.5505564038455366,REUSED_AUTHORITY
p22,F00_R02_REFERENCE,ami,,MISSING_SOURCE_ARTIFACT
p22,F00_R02_REFERENCE,fmi,,MISSING_SOURCE_ARTIFACT
p22,F00_R02_REFERENCE,homogeneity,,MISSING_SOURCE_ARTIFACT
p22,F00_R02_REFERENCE,completeness,,MISSING_SOURCE_ARTIFACT
p22,F00_R02_REFERENCE,v_measure,,MISSING_SOURCE_ARTIFACT
p22,F00_R02_REFERENCE,neighbor_agreement,0.8949246838922484,REUSED_AUTHORITY
