lane,candidate_id,arm,config_id,training_seed,partition_sha256,representation_sha256,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,n_total,n_evaluated,k,min_cluster_size,cluster_sizes,changed_from_strong_start,wall_seconds,peak_gpu_mib,peak_rss_mib
MISAR_K7,C02_BALANCED__FULL_CSBO__S0,FULL_CSBO,C02_BALANCED,0,0d49f313ded544d01aa7570facdbf413db89d00896f98981816582eac4a2560f,9d8e8663214970003796ca2ea29efb6edab1203ff82b174aa8ae5e62935d5bc8,0.3121140315152302,0.4730513559253919,0.4703003065961834,0.4419265685875881,0.5041299856126209,0.4730513559253919,0.7937229923589479,0.2048524503956706,0.8213083565051954,1949,1949,7,170,"[374, 263, 383, 282, 272, 170, 205]",669,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C02_BALANCED__PERMUTED_EDGE_STATES__S0,PERMUTED_EDGE_STATES,C02_BALANCED,0,8ebbded297bf8941d5109b7b5bb1536da2313fb28067af6f28437be820bc2432,922d217e80ecbb214da2dd16b1b1ca95b869651123d290374f24f9eaa6e669c0,0.3552063308990066,0.5294471525273783,0.5269994245557533,0.4773677400293902,0.5659961845051462,0.5294471525273783,0.8530354676308323,0.1475769159005795,0.8786770086345675,1949,1949,7,204,"[257, 259, 397, 328, 286, 204, 218]",507,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C02_BALANCED__UNSIGNED_ONLY__S0,UNSIGNED_ONLY,C02_BALANCED,0,89de20199e4d08d8fb445d0616c6305b6d4a167ef13b6c2d6f1009ff82d5f6e4,e0d54c9567f0d120bf461c81e6e9461c76f0b9a692c5ba53150e69f9716034f7,0.3635163451050911,0.5387177250229381,0.5363039691810613,0.4852636492185381,0.5728644452763345,0.5387177250229381,0.8912596282759283,0.1106282067034179,0.911605444168008,1949,1949,7,183,"[193, 244, 411, 389, 269, 183, 260]",566,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C02_BALANCED__BOUNDARY_TO_ABSTAIN__S0,BOUNDARY_TO_ABSTAIN,C02_BALANCED,0,2a3f6efd3beef7d081e6db5f32d2c67f7b4dc7a2660db18251ae45fc089a4e9c,c56ed5fbb13abfcbd9904b7df753a9f34f0334826aa01b3446767d6c54f0f2c6,0.3657735730744945,0.5404740435081052,0.5380716866392661,0.4869699988255725,0.5752156544657966,0.5404740435081052,0.8855266861058452,0.1161733798991282,0.907068637494512,1949,1949,7,183,"[195, 258, 407, 380, 276, 183, 250]",558,4.197182655334473,40.4755859375,852.86328125
MISAR_K7,C02_BALANCED__CONFLICT_AS_POSITIVE__S0,CONFLICT_AS_POSITIVE,C02_BALANCED,0,930d58a1c19ded6dd0c489eea5d4340a36a2b859438d384b8503db9a9d7d9757,e88ca43c0dd2257186a71cbc2c3ab733a78a81fb32d8a3ba1d320f53f990270e,0.3143506611015665,0.4758796295876034,0.4731431342945433,0.4438341974678635,0.5070968915878076,0.4758796295876034,0.8002912343838571,0.1983364417766266,0.8274549978047709,1949,1949,7,171,"[379, 271, 385, 261, 273, 171, 209]",668,4.197182655334473,40.4755859375,852.86328125
HUMAN_HIPPOCAMPUS_K7,INPUT_STRONG_START,INPUT_STRONG_START,BASELINE,0,2273b13428e27a0347be7ae621a09bd30fbbeb469ce3d55c03c3e0495a27c2c6,1f610ae69afd42cc985b452622b1367dfe851b9e6d6c4ad16a7ed8bf41bd0aa6,0.5961783620969016,0.5854895180308324,0.5836405779005621,0.6872240781271102,0.5615159891783248,0.5854895180308322,0.7741071663682941,0.2177857175066828,0.9012346431055148,2500,2500,7,34,"[34, 59, 299, 655, 160, 869, 424]",0,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,FROZEN_RETAINED_SAME_HEAD,FROZEN_RETAINED_SAME_HEAD,BASELINE,0,88b55ed7137589b19c842a821b394167a4debc4b7b9739dd1781248bcfed45ef,1f610ae69afd42cc985b452622b1367dfe851b9e6d6c4ad16a7ed8bf41bd0aa6,0.2037266696135115,0.2484413973870552,0.2452257645948585,0.3679446639702157,0.2461494045228928,0.2484413973870551,0.3611729814924498,0.6298090207680558,0.4345731171611074,2500,2500,7,49,"[136, 49, 655, 407, 146, 666, 441]",1095,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C01_CONSERVATIVE__BACKBONE_NO_CSBO__S0,BACKBONE_NO_CSBO,C01_CONSERVATIVE,0,5a4370ac3f544aaf865956ac3dcc57193d0ff881141239c3256f365a7b90c51b,da699ed7fc2ebe655946136aee259f702d7b713bc9e8f5601a66ded880c8f497,0.199666322460026,0.2451232220000034,0.2419075065185486,0.3627956800905788,0.2438426646835945,0.2451232220000034,0.356260405287637,0.634537364868062,0.4273099002735425,2500,2500,7,49,"[149, 49, 612, 455, 144, 652, 439]",1091,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C01_CONSERVATIVE__FULL_CSBO__S0,FULL_CSBO,C01_CONSERVATIVE,0,2689219cc7a8ba82a21a6da1c514953a656667db31ebaf730474660569570e8b,9134235a4a676ed6b165b6bef5ca3dbb182b04d7efb85c9a0965efde80c0fe39,0.2119361812939921,0.2517956805580166,0.2485838761572314,0.3754070721177266,0.2487822169680171,0.2517956805580166,0.3659410552940629,0.6253502578413376,0.4431685822938058,2500,2500,7,49,"[120, 49, 650, 404, 147, 682, 448]",1068,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C01_CONSERVATIVE__PERMUTED_EDGE_STATES__S0,PERMUTED_EDGE_STATES,C01_CONSERVATIVE,0,30b54f690ff8c7e7a6b854423594dbbbc190172f0a10d0310f60dd1f1c2745d2,f7f0b8a10fafe392bdc6af911256613f6327584bb66ac074ccc0115aa950e6e0,0.2015382002352067,0.2557774821884883,0.2525840972303322,0.3672315538360617,0.2527950194018379,0.2557774821884883,0.3680141383373559,0.6232905460862485,0.4417605474422965,2500,2500,7,49,"[120, 49, 716, 412, 152, 616, 435]",1091,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C01_CONSERVATIVE__UNSIGNED_ONLY__S0,UNSIGNED_ONLY,C01_CONSERVATIVE,0,677af3a39b0df583ea8f958c72d15330c717e55934a31376edd6578e828cb51d,db8e1412573ba8b713f1d762bcdfcc1bf60eb25ed18549fa05eb83e6e5f345f5,0.2007545380029922,0.2546455848364409,0.2515097599250343,0.3597568255618724,0.2561757659901034,0.2546455848364409,0.3623339489051241,0.6284567393795683,0.4197016535269632,2500,2500,7,49,"[283, 49, 657, 357, 144, 578, 432]",1180,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C01_CONSERVATIVE__BOUNDARY_TO_ABSTAIN__S0,BOUNDARY_TO_ABSTAIN,C01_CONSERVATIVE,0,49d4d53fb3503ba58926b6e87e076fa6e0678be4855d461897159a6f1ea52030,aa12ea454c114ce60b72b20d0c427f20589b9a80562611c209660a82dbc72abd,0.2019523300943812,0.2479162756624137,0.244717013030135,0.3645952670450268,0.2468914433037121,0.2479162756624137,0.3567307822225318,0.6338809672026432,0.4265353434547081,2500,2500,7,49,"[167, 49, 642, 407, 145, 648, 442]",1096,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C01_CONSERVATIVE__CONFLICT_AS_POSITIVE__S0,CONFLICT_AS_POSITIVE,C01_CONSERVATIVE,0,a0b1d1f2a4cc4d9deb1a983293ef544edc5f3910e1c1246350c4af0ef45dadc8,de67d443501de42238696c3ca4e1d044053258f24a4885c179d8a86e24a9e216,0.2044856772196842,0.2532695721135414,0.2500671686693265,0.3691903322638168,0.2504449093517997,0.2532695721135414,0.3628027531242409,0.6282489964508652,0.4379020553020249,2500,2500,7,49,"[126, 49, 701, 420, 143, 619, 442]",1089,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C02_BALANCED__BACKBONE_NO_CSBO__S0,BACKBONE_NO_CSBO,C02_BALANCED,0,3c269fe591e02887d88c1e1fe146d8b417e2e316baad1ffe5e4c5505df54faef,1ff012bba27c181a1a175bcff242a326ee30c56e26493eb8e4fb8cfe7928916e,0.1062046604628039,0.172191063910332,0.1687355190756784,0.2788599128959794,0.1745959607103069,0.172191063910332,0.2779553824312673,0.7142149220811529,0.3192540874419248,2500,2500,7,48,"[433, 48, 555, 420, 135, 522, 387]",1448,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C02_BALANCED__FULL_CSBO__S0,FULL_CSBO,C02_BALANCED,0,99acc5c4928542fbfdcc7747eaf508846b5c7887aa1a6507e217b553b7ee0401,d98f2d3a0ee94f3d58788f7fc669b712dc35711f4957105fb83ac4b5783aa898,0.1522153639724608,0.2181590555229451,0.2147031576505429,0.3376478476640534,0.2105991337464338,0.2181590555229451,0.3411377351761723,0.6505580911357277,0.4219844573861684,2500,2500,7,47,"[55, 47, 758, 383, 146, 738, 373]",1241,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C02_BALANCED__PERMUTED_EDGE_STATES__S0,PERMUTED_EDGE_STATES,C02_BALANCED,0,674662325c05e51d598654ad05774dc556506000d1824cd8326a33dd143a5bb4,01aad8564049b20df5eb67da06b9c66d87f09db940d5e3f6be93e2f4daaff549,0.1421265165512331,0.2105964103503306,0.2072972974379943,0.3085780936537792,0.2133002145459054,0.2105964103503306,0.3216228443171379,0.6693510032951572,0.3592654537010956,2500,2500,7,48,"[460, 48, 480, 427, 134, 591, 360]",1381,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C02_BALANCED__UNSIGNED_ONLY__S0,UNSIGNED_ONLY,C02_BALANCED,0,9d737e326bd83024c062fca1918ab0cb7a220e6de55530a1d0dd8f6a7381498f,d9da29fc8965bd7493137c07b3bfd037d1681c1eb00c0d835872eae0184a3b9c,0.1986220825056591,0.252204921121121,0.2490672545640103,0.3556733779503399,0.2545564264861624,0.252204921121121,0.3696566641701436,0.6208367255386527,0.4108212886866231,2500,2500,7,47,"[489, 47, 540, 402, 128, 579, 315]",1284,4.423547267913818,48.041015625,873.09375
HUMAN_HIPPOCAMPUS_K7,C02_BALANCED__BOUNDARY_TO_ABSTAIN__S0,BOUNDARY_TO_ABSTAIN,C02_BALANCED,0,4eec5438ef527a4b8192f5b3151338f31cd6bbe48fae3998b3a03c436317c75c,16f6cd24f902a971baabc0aaae03e4c16c4431abe12efb1908bfbe57107cf046,0.1535486467640329,0.2167787969542386,0.2133159602963552,0.3386348515053781,0.2092497019722745,0.2167787969542386,0.3421977359661855,0.6494669636418237,0.4224253357548589,2500,2500,7,47,"[54, 47, 750, 390, 146, 744, 369]",1234,4.423547267913818,48.041015625,873.09375
