ablation,absolute_ari,absolute_nmi,accepted_expansions,ami,changed_observations,cycle_energy_ledger_json,each_frozen_cycle_monotone,fmi,gearys_c,lane,mean_optional_conflict,mean_optional_consistency,mean_optional_presence,mean_optional_reliability,mean_pair_weight,mean_prototype_margin,mean_retained_weight,mean_self_return,mean_view1_weight,mean_view2_weight,min_cluster_size,min_cluster_size_before,missing_view_exact_fallback,morans_i,observed_cardinality,optional_view_present,optional_weight_noop,pair_edge_count,partition_sha256,scale_broad_normalized,scale_fine_normalized,scale_registered_normalized,total_move_assignments,evidence_path
RELIABILITY_CONSTANT,0.3306782362160307,0.30359155276280847,12.0,0.3029415544553291,203.0,"[{""cycle_index"":0,""start_energy"":1611.405721105049,""end_energy"":1472.0333289555579,""accepted_expansions"":4,""move_assignments"":155},{""cycle_index"":1,""start_energy"":1372.3463831148415,""end_energy"":1355.5740994247126,""accepted_expansions"":4,""move_assignments"":34},{""cycle_index"":2,""start_energy"":1352.0260508539604,""end_energy"":1344.5518951947508,""accepted_expansions"":4,""move_assignments"":21}]",1.0,0.6025488363507207,0.32068838507478786,tonsil_s3,0.21646474301815033,0.36479297280311584,1.0,1.0,0.027820214021207906,1.2713567018508911,0.019444627687335014,0.4719266989060159,0.021792296320199966,0.958763062953949,263.0,271.0,0.0,0.6863084687429348,4.0,1.0,,42908.0,27e7dc26ebf971c45883ecff364e4922291d0b3d2dc207c3abac5982be988d87,0.38229838013648987,0.011392967775464058,0.60630863904953,210.0,OPTIONAL_MORPHOLOGY_ENERGY
UNARY_ONLY,0.349880567011789,0.3092665192529602,10.0,0.3086238611787992,42.0,"[{""cycle_index"":0,""start_energy"":1071.605629953901,""end_energy"":1055.195951055746,""accepted_expansions"":4,""move_assignments"":31},{""cycle_index"":1,""start_energy"":1028.139467293873,""end_energy"":1026.4423352353242,""accepted_expansions"":3,""move_assignments"":8},{""cycle_index"":2,""start_energy"":1018.2189738139476,""end_energy"":1018.0853799463274,""accepted_expansions"":3,""move_assignments"":3}]",1.0,0.6140297558071146,0.3082255291358738,tonsil_s3,0.21646474301815033,0.36479297280311584,1.0,0.3186989724636078,0.027820214021207906,1.2974331378936768,0.019241899251937866,0.4719266989060159,0.024439150467514992,0.9563188552856445,295.0,294.0,0.0,0.6985861585973758,4.0,1.0,,42908.0,e55511857d19f1d0a1b97fc5c90074b76116eacb95081f5f5d0af1c541dd2e75,0.38229838013648987,0.011392967775464058,0.60630863904953,42.0,OPTIONAL_MORPHOLOGY_ENERGY
EDGE_ONLY,0.3411070575102403,0.3009661088533847,,0.30031149771186744,0.0,[],,0.6112171578614828,0.3138897812763002,tonsil_s3,,,,,,,,,,,,,0.0,0.6932679902490025,4.0,1.0,1.0,,8efceacf38e8e606759809702d7e3419d66af3bf9af417e99cc4df55c0c9b5be,,,,,OPTIONAL_MORPHOLOGY_ENERGY
CONSISTENCY_OFF,0.348502226888711,0.30792001749002773,9.0,0.30727591863223935,43.0,"[{""cycle_index"":0,""start_energy"":1088.4749951934168,""end_energy"":1068.9042230652403,""accepted_expansions"":4,""move_assignments"":32},{""cycle_index"":1,""start_energy"":1038.9389421007354,""end_energy"":1037.0533786609146,""accepted_expansions"":3,""move_assignments"":7},{""cycle_index"":2,""start_energy"":1028.289236452182,""end_energy"":1027.6346870594318,""accepted_expansions"":2,""move_assignments"":4}]",1.0,0.6133428015118025,0.3087379911093878,tonsil_s3,0.21646474301815033,0.36479297280311584,1.0,0.32424986362457275,0.027820214021207906,1.2968446016311646,0.01913728378713131,0.4719266989060159,0.024269307032227516,0.95659339427948,294.0,293.0,0.0,0.6981692909247704,4.0,1.0,,42908.0,6e79aa4acf6e18cdd17ebb905c9badcf4665c1760b11fb4272c195c35e8c7a3f,0.38229838013648987,0.011392967775464058,0.60630863904953,43.0,OPTIONAL_MORPHOLOGY_ENERGY
CONFLICT_OFF,0.34686745015315285,0.3066573358127442,7.0,0.3060110309038696,27.0,"[{""cycle_index"":0,""start_energy"":1018.8397062061081,""end_energy"":1012.7981912267414,""accepted_expansions"":3,""move_assignments"":16},{""cycle_index"":1,""start_energy"":1002.7240182465894,""end_energy"":1001.3807687488638,""accepted_expansions"":2,""move_assignments"":6},{""cycle_index"":2,""start_energy"":995.432629994049,""end_energy"":995.1320165638855,""accepted_expansions"":2,""move_assignments"":5}]",1.0,0.6130360283558755,0.31144646868512393,tonsil_s3,0.21646474301815033,0.36479297280311584,1.0,0.25089600682258606,0.027820214021207906,1.2901537418365479,0.01927924156188965,0.4719266989060159,0.024602491408586502,0.9561182856559753,293.0,290.0,0.0,0.6955239609078468,4.0,1.0,,42908.0,405c45c17d8ac6a27d2f13f3546440bbdceabf8eabc520ed308c0a04f4eeeded,0.38229838013648987,0.011392967775464058,0.60630863904953,27.0,OPTIONAL_MORPHOLOGY_ENERGY
MARGIN_OFF,0.349880567011789,0.3092665192529602,10.0,0.3086238611787992,42.0,"[{""cycle_index"":0,""start_energy"":1068.7928912764141,""end_energy"":1053.3324563708263,""accepted_expansions"":4,""move_assignments"":31},{""cycle_index"":1,""start_energy"":1026.278951713826,""end_energy"":1024.631448866703,""accepted_expansions"":3,""move_assignments"":8},{""cycle_index"":2,""start_energy"":1016.4470132034238,""end_energy"":1016.3423564371677,""accepted_expansions"":3,""move_assignments"":3}]",1.0,0.6140297558071146,0.3082255291358738,tonsil_s3,0.21646474301815033,0.36479297280311584,1.0,0.31690922379493713,0.027820214021207906,1.2974331378936768,0.019241899251937866,0.4719266989060159,0.024439150467514992,0.9563188552856445,295.0,294.0,0.0,0.6985861585973758,4.0,1.0,,42908.0,e55511857d19f1d0a1b97fc5c90074b76116eacb95081f5f5d0af1c541dd2e75,0.38229838013648987,0.011392967775464058,0.60630863904953,42.0,OPTIONAL_MORPHOLOGY_ENERGY
PERMUTED_MORPHOLOGY,0.3101316326214593,0.2770319895860965,11.0,0.2763700192237065,198.0,"[{""cycle_index"":0,""start_energy"":2432.9740210691193,""end_energy"":2365.630244053449,""accepted_expansions"":4,""move_assignments"":137},{""cycle_index"":1,""start_energy"":2295.2184055256803,""end_energy"":2281.6512023832643,""accepted_expansions"":4,""move_assignments"":54},{""cycle_index"":2,""start_energy"":2257.2252601867535,""end_energy"":2254.59746157316,""accepted_expansions"":3,""move_assignments"":20}]",1.0,0.5839545780387883,0.35367443702084944,tonsil_s3,0.2564178705215454,0.36801210045814514,1.0,0.3089815080165863,0.027820214021207906,1.337701678276062,0.021094011142849922,0.4719266989060159,0.02426830865442753,0.9546377062797546,308.0,306.0,0.0,0.6532009691401053,4.0,1.0,,42908.0,a6a638fa8e2cb4c9cea636f240e9ca11c5bf86b58ee8b0036bd5a11d59c6bf5f,0.38229838013648987,0.011392967775464058,0.60630863904953,211.0,OPTIONAL_MORPHOLOGY_ENERGY
MISSING_VIEW,0.3411070575102403,0.3009661088533847,,0.30031149771186744,0.0,[],,0.6112171578614828,0.3138897812763002,tonsil_s3,,,,,,,,,,,,,1.0,0.6932679902490025,4.0,0.0,,,8efceacf38e8e606759809702d7e3419d66af3bf9af417e99cc4df55c0c9b5be,,,,,OPTIONAL_MORPHOLOGY_ENERGY
FULL,0.28887600833487515,0.41376160498731795,,0.40978764603830026,,,,0.4287826612792442,0.48410843335978476,D1,,,,,,,,,,,86,,,0.5185403685209878,,,,,19c4dd4f1cb502e5b02a6b2b4f373e2716c5877a2763b6aa0a7eff717dfa3aaf,,,,,MORPHOLOGY_COORDINATE_HEAD
MISSING_MORPHOLOGY,0.24626107389584953,0.35607131036440404,,0.3517491521592713,,,,0.39008426438677285,0.4708196873186104,D1,,,,,,,,,,,44,,,0.5299581646275557,,,,,fd0d930f522dda208d36d8c32ca353699f45831c6072c98e0a988f9dacce017b,,,,,MORPHOLOGY_COORDINATE_HEAD
PERMUTED_MORPHOLOGY,0.26847700232594707,0.3772979279893681,,0.37274362429948227,,,,0.44434268822534945,0.5972130897821435,D1,,,,,,,,,,,14,,,0.4127976832343852,,,,,894e5c67c568aa0a516889df4039e950c94e5472f83ec589b8605e9d5b8efb69,,,,,MORPHOLOGY_COORDINATE_HEAD
COORDINATE_OFF,0.2836016978612205,0.3936738027250412,,0.389570789949998,,,,0.4234363323836962,0.5099636327179132,D1,,,,,,,,,,,47,,,0.4938444403193013,,,,,a113620e542a286e80940ec7d5f6b2dd40aff9595bc50e608ed632d91bec2f73,,,,,MORPHOLOGY_COORDINATE_HEAD
MOLECULAR_ONLY,0.24653019119354988,0.36917749838490976,,0.36498396435215774,,,,0.423045053422669,0.6085753512722134,D1,,,,,,,,,,,1,,,0.38943028347223685,,,,,6bcb41e217c725f4ff788d749522834213045dcd04c37e8de272722992d4107f,,,,,MORPHOLOGY_COORDINATE_HEAD
